,det_entropy_shannon_1_coef,det_entropy_shannon_2_coef,det_entropy_shannon_3_coef,det_entropy_shannon_5_coef,det_entropy_shannon_6_coef,det_entropy_shannon_7_coef,det_entropy_shannon_8_coef,det_entropy_shannon_9_coef,det_entropy_shannon_10_coef,app_entropy_shannon_1_coef,app_entropy_shannon_2_coef,app_entropy_shannon_3_coef,app_entropy_shannon_4_coef,app_entropy_shannon_5_coef,app_entropy_shannon_6_coef,app_entropy_shannon_7_coef,app_entropy_shannon_8_coef,app_entropy_shannon_9_coef,app_entropy_shannon_10_coef,app_TKEO_std_6_coef,app_TKEO_std_7_coef,app_TKEO_std_10_coef,app_LT_entropy_shannon_4_coef,app_LT_entropy_shannon_5_coef,app_LT_entropy_shannon_6_coef,app_LT_entropy_shannon_7_coef,app_LT_entropy_shannon_8_coef,app_LT_entropy_shannon_9_coef,app_LT_entropy_shannon_10_coef
10,8.9928,-25.8596,-478.0545,-1538.5182,-5708.9701,-2322.4815,-13788.5743,-105.6388,-1355.4108,-162851733.9,-194667819.8,-255802643,-368151876.5,-594059464.1,-1057129704,-2080872647,-4071125230,-8482048102,-17643687028,1350609.456,2808841.587,23039183.58,-78879.1156,-134903.1083,-252375.5243,-518520.1999,-1053662.673,-2270234.511,-4866287.304
11,6.0954,10.264,-101.387,-2066.7681,-1556.9862,-1614.5158,-19855.2946,-1899.5952,-3735.5942,-169768010.4,-202625780.8,-265579803.3,-381135027.6,-613429409.3,-1089633257,-2142387320,-4188756100,-8726556301,-18151200833,1384446.24,2885014.505,23664508.59,-79416.4786,-135744.292,-253847.2704,-521408.4212,-1059367.892,-2282438.277,-4892281.535
12,-1953.3633,-1594.3659,-1207.5787,-9534.2385,-6320.7982,-182.5275,-9193.5754,-9372.7962,-197201.558,-169694375.1,-202278812,-264910675.8,-379321238,-609459657.4,-1081210310,-2126380278,-4152815886,-8651820126,-17995598540,1420704.953,2914630.896,23904602.24,-79332.7159,-135557.3422,-253438.1885,-520597.0998,-1057503.672,-2278450.261,-4883782.31
13,0.14731,-270.0711,-2969.3564,-2211.6004,-255.3579,-863.8573,-9406.2037,-809.06,-16117.3683,-162110331,-193661821.5,-254280980.8,-365554208.5,-589303971,-1047814604,-2062202895,-4033008390,-8402809175,-17479158879,1347858.498,2797311.764,22935797.45,-78769.1705,-134691.5833,-251942.6621,-517620.3051,-1051764.651,-2266174.388,-4857638.496
14,10.5605,-337.3917,-577.097,-4607.7811,-14314.989,-11138.273,-12838.6891,-176.431,-8053.1756,-167372266,-200178641.5,-263157820.9,-378904928.2,-611830333.9,-1089782323,-2145268963,-4199216147,-8748304937,-18196328627,1379194.646,2868283.647,23566347.58,-79323.4767,-135672.9949,-253849.5463,-521533.1824,-1059849.647,-2283468.819,-4894476.426
15,1.6053,5.5191,5.2429,-147.3805,-8.6865,-30.2239,-1951.7585,-371.9094,-15420.5663,-56310195.28,-67727625.84,-89506842.83,-129579596.9,-210269056.1,-375947341.4,-741979799.4,-1456488399,-3042063128,-6342255383,507840.9701,1051195.552,8666212.733,-63692.1966,-109308.3089,-205063.4694,-422162.0213,-859468.8244,-1854591.921,-3980491.186
16,1.9858,7.9853,3.6831,-161.8061,-146.2062,-17.5666,-1630.037,-576.5155,-21232.2501,-50710598.73,-61059615.46,-80780025.24,-117085912.6,-190175067.2,-340332125.4,-671929717.8,-1319605439,-2756861867,-5748968740,462203.455,955052.2837,7882628.807,-62315.594,-106993.6511,-200798.7246,-413475.662,-841972.3802,-1817117.373,-3900578.239
17,1.1293,5.3217,7.4328,-62.3212,-72.0197,2.2037,-331.3992,-375.1629,-8786.1117,-43333710.81,-52254065.46,-69268074.04,-100590650.3,-163678423.4,-293347724.6,-579707677.5,-1139198261,-2380873663,-4966676357,404627.8103,831715.2699,6872691.444,-60287.1856,-103590.1001,-194529.5017,-400737.4611,-816293.1185,-1762108.023,-3783258.73
18,2.9115,4.6104,-30.8302,-6025.2255,-2210.3583,-2390.3259,-5387.8591,-156.2354,-699.8947,-49595388.06,-59764746.14,-79186641.37,-114796699.3,-186750155.3,-334522994.5,-660769790.5,-1297519199,-2710840590,-5653284068,464334.5967,943429.3251,7805668.038,-62035.8448,-106553.8176,-200017.4205,-411917.2959,-838786.9103,-1810294.212,-3886029.174
19,1.9135,6.7716,0.33616,-560.3285,-46.9191,-47.0081,-1723.6445,-1103.6747,-30366.4434,-51812028.51,-62180951.57,-81976551.73,-118174146.6,-191048838,-340638874.8,-672280547.9,-1317639027,-2752761616,-5740413503,479207.1589,981147.0373,8068424.106,-62439.2111,-107096.4885,-200833.018,-413512.5441,-841692.9122,-1816518.668,-3899300.758
20,1.4858,6.7887,6.0388,-7.2342,-45.9147,-9.6602,-134.4967,1.1403,-0.21452,-52911232.99,-63615675.71,-84032211.14,-121520836.2,-196978099.8,-351946237,-694816473,-1363398090,-2848115894,-5938871174,483476.485,997345.1026,8210859.477,-62819.4822,-107802.1687,-202234.1089,-416404.7859,-847750.1216,-1829492.996,-3926971.495
21,-39889.5724,-100193.3944,-47617.0952,-44209.4637,-20789.6944,-192.8144,-7312.8718,-5646.6368,-144244.6017,-42875975.51,-51172291.84,-67306612.75,-96590882.52,-155840151.9,-277148238.6,-547249225.9,-1071820494,-2240395487,-4673996556,402224.2907,826190.3638,6759944.421,-59457.7879,-101948.15,-191071.8487,-393530.5746,-800973.6386,-1729284.534,-3713229.039
22,-23236.7096,-23723.1601,-32069.4926,-6259.6116,-2129.582,-4125.8252,-6985.298,-9691.1809,-17298.5956,-11692252.12,-14385635.4,-19525292.45,-28996977.44,-48294867.79,-88127356.4,-175862537.9,-348599690.2,-730960566.5,-1529448585,131096.4607,266084.0835,2213588.67,-44811.0332,-77588.9356,-146564.0696,-303146.3012,-619549.409,-1340262.608,-2882853.673
23,-4960.005,-24326.0071,-12617.8464,-70709.3473,-449432.4558,-504769.7553,-6968490.673,-441528.9695,-14119996.52,-10476340.94,-13148376.85,-18625118.53,-27922035.09,-47134264.68,-85899166.88,-171785758.4,-324289685.9,-679106796.3,-1399384344,339198.5467,611392.2223,3305445.689,-43568.107,-75521.7923,-142632.5924,-295288.9344,-600516.7472,-1299325.674,-2793887.557
24,2.5999,7.9804,-10.5125,-157.2276,-2237.7964,-154.8393,-3880.6697,-256.4061,-10867.38,-41823250.71,-50328415.92,-66492385.24,-96197065.29,-155986123.6,-278837359.6,-550633195.7,-1081405844,-2260400244,-4715946360,383656.5273,797820.84,6562327.456,-59697.2091,-102510.5662,-192413.5087,-396348.5639,-807303.0858,-1742847.377,-3742176.017
25,3.6066,7.0255,-11.3494,-428.036,-1700.5996,-81.2904,-4131.3458,-2241.9195,-61103.0416,-50362735.71,-60731678.62,-80501582.35,-116975914.7,-190448300.1,-341514626.7,-674677291.4,-1326237526,-2770674018,-5777603825,459175.549,950816.2227,7856520.026,-62300.0964,-107021.4633,-200937.795,-413812.7366,-842821.9145,-1818936.762,-3904455.014
26,2.9757,7.6828,-14.118,-999.0922,-392.1337,-125.2292,-5134.7801,-3603.8478,-82128.0139,-52239428.57,-63616982.21,-84450107.61,-122943190.3,-200476807.5,-359822242.6,-711009316.1,-1398082679,-2920366634,-6088953525,480487.2852,995385.9257,8230766.315,-62971.8972,-108198.5022,-203165.9941,-418388.3226,-852139.9374,-1838894.724,-3947013.781
27,2.136,9.2401,-97.2226,-413.695,-922.7437,-85.337,-393.8855,-573.9965,-5839.6912,-70088041.51,-84322930.65,-111555331.3,-161660423.3,-262618955.8,-470031954.4,-927803585.7,-1820914473,-3801075534,-7920628589,630847.4802,1295170.732,10697093.58,-66753.6757,-114528.9319,-214814.6103,-442102.4298,-899781.82,-1940918.258,-4164545.401
28,3.4144,9.0464,-79.8125,-1175.5695,-376.247,-540.7233,-1534.0749,-762.116,-1758.7619,-70601647.01,-84951427,-112447231.6,-162981177.3,-264839174.2,-473914766.5,-935820932.3,-1836228152,-3832962215,-7986935485,641310.488,1314388.225,10843054.34,-66868.3045,-114730.6596,-215181.2547,-442886.6251,-901327.0024,-1944226.65,-4171598.568
29,3.5646,11.2088,-165.913,-444.5298,-799.6453,-45.6887,-759.1529,-68.5953,-502.4954,-69566924.19,-83457367.31,-109989004.1,-158650479.1,-256635432.7,-457720369.9,-902740770.2,-1769502142,-3694020910,-7698073371,619486.0545,1280073.155,10523392.36,-66491.1529,-113982.8382,-213645.2284,-439637.2066,-894565.1679,-1929748.719,-4140734.166
30,1.9416,8.4477,1.41,-187.218,-1255.2017,-334.5032,0.19695,-0.089501,-138.7357,-26307568.01,-31755072.42,-42101903.24,-61058796.01,-99281439.77,-177810622.8,-351776601.9,-691504476.2,-1447164875,-3022640738,257300.9409,528300.6343,4352248.658,-53887.8639,-92698.1712,-174224.2859,-359282.4124,-732376.8947,-1582269.097,-3399568.762
31,-1438083.266,-838971.6396,-67691.0229,-319979.999,-1909741.509,-2120471.52,-28391680.5,-1831058.459,-56796656.8,-41081592.03,-50721911.14,-71496388.82,-106363223.4,-178723660.2,-324161704.4,-645380284.1,-1211016625,-2526559674,-5184925678,1200483.611,2171466.446,11531205.79,-59104.0971,-101759.8101,-191251.5203,-394411.6803,-801421.5011,-1730202.117,-3714450.987
32,-185912.9961,-2755054.472,-72098.299,-416079.8152,-2252365.528,-2665349.254,-36302397.24,-2327781.538,-71845987.12,-38839351.06,-47172384.94,-67580297.77,-100283963.3,-169686658.7,-308875586.2,-615681533.3,-1142470836,-2382706305,-4864610395,1288762.126,2368336.41,11669164.95,-57889.752,-99741.31,-187564.6264,-386968.032,-786020.4042,-1697184.548,-3643724.251
33,2.1803,8.0803,-90.2898,-347.6623,-2094.8831,-668.9557,-1250.2481,-2112.2536,-16245.0182,-91628023.24,-109601841.3,-143971900.3,-206918386.3,-333529880.1,-593045186.7,-1167608519,-2284564185,-4766262532,-9926757834,798997.9069,1640893.249,13498509.67,-70268.1824,-120297.9566,-225237.2859,-463155.3466,-941793.802,-2030857.914,-4356255.826
34,3.1099,5.1853,-204.7872,-363.0661,-769.4185,-1574.0948,-3412.268,-3900.9438,-27087.0544,-89914362.46,-107455141.1,-140964003.5,-202236906,-325509885.1,-578311553.9,-1138166819,-2226048051,-4644466540,-9673620201,784606.7638,1606311.187,13217755.84,-69936.3459,-119700.1216,-224089.93,-460777.8397,-936911.9646,-2020407.935,-4333982.913
35,4.2032,11.0705,-31.9333,-171.1719,-202.8131,-499.0663,-6852.3256,-1796.2682,-36209.7545,-84339881.64,-100963364.7,-132752243.9,-190923731.4,-307919680.8,-547918332.3,-1080103963,-2114640566,-4412583258,-9191682476,739688.8514,1534820.755,12560738.74,-69109.9484,-118350.4003,-221655.8451,-455955.8012,-927351.3492,-1999942.107,-4290361.375
36,3.2165,9.1705,-44.8743,-2203.6803,-709.4562,-247.8792,-49.6946,2.9111,-52.6634,-41260817.31,-49707833.93,-65793870.03,-95293662.6,-154737459.9,-276932685,-547255037.8,-1074707199,-2246437136,-4686919406,388445.1413,796682.8158,6568308.598,-59572.132,-102329.7665,-192125.3996,-395818.8216,-806217.6809,-1740521.944,-3737217.039
37,2.4995,6.0426,-19.6594,-339.7037,-200.6517,-73.3055,-316.8659,0.47285,0.71954,-43099577.17,-51924122.29,-68743267.67,-99631452.52,-161821490,-289595544.4,-572132803.2,-1123449532,-2348047878,-4898393444,404690.8645,828807.4791,6841750.921,-60160.9795,-103334.8738,-193993.3106,-399617.254,-813891.7001,-1756963.346,-3772286.585
38,2.7308,11.4285,-9.9354,-1334.1716,-515.7065,-752.5068,-5915.4277,-829.1754,-13003.6651,-43997769.51,-53044944.44,-70351971.87,-102115731.7,-166085162.2,-297633429.2,-588636277.8,-1156094774,-2416091760,-5039955641,420723.4062,855587.1415,7061205.03,-60484.5125,-103916.1376,-195132.9348,-402039.6645,-818834.2889,-1767552.067,-3794870.009
39,3.1118,10.1588,-10.9591,-365.6298,-232.3327,-2061.021,-35747.4941,-3973.5018,-144099.1838,-75738716.34,-90888093.29,-119969746.8,-173166548.7,-280282384.8,-500221934.8,-987134061,-1933321622,-4035107556,-8406826235,699250.0421,1409604.439,11618593.34,-67719.6907,-116079.5672,-217568.9524,-447704.8694,-910738.631,-1964376.777,-4214546.22
40,-91754.9458,-142046.2522,-362593.3537,-817345.365,-1335785.041,-815992.5515,-17987387.94,-2264042.841,-66797537.18,-68372485.69,-82543040.11,-108384996.6,-159131394.5,-261849259.2,-472900041.6,-928516311,-1834276498,-3824139836,-7876367867,569247.964,1403365.519,10137865.94,-64577.284,-111394.3874,-209574.4455,-430515.8878,-880413.0102,-1899132.616,-4070305.38
41,-30.6378,-56.685,-27.6924,-803.385,-3052.3646,-3229.3395,-53071.1746,-11990.567,-384607.4334,-84241004.02,-100968536.1,-133144866.6,-191882432.4,-310246641,-552903059.5,-1091132646,-2135278182,-4455506158,-9280143306,777229.3088,1568793.009,12882939.25,-69175.0273,-118521.0047,-222041.0772,-456842.9452,-929071.9925,-2003624.723,-4298197.081
42,8.1672,-5.7276,-62.4176,-1757.8235,-1906.7305,-2251.5202,-13161.4795,-701.2432,-23564.4618,-106535824.2,-127828446.7,-168604765.8,-243697628.9,-394795262.3,-704838470.4,-1389465662,-2723969265,-5680597004,-11826446326,910828.5669,1898080.09,15600894.91,-72655.0147,-124465.4059,-233159.5292,-479447.5238,-975100.6742,-2102144.669,-4508175.007
43,7.8716,-42.5571,-241.4881,-1185.1656,-3702.525,-2424.9512,-531.0869,-1077.731,-5648.0277,-104177841.9,-125123272.9,-165325200.3,-239355853.7,-388419186.6,-694526529.6,-1369708680,-2685659694,-5600893304,-11660923047,909743.9746,1869038.768,15427797.19,-72390.4008,-124060.2075,-232480.5396,-478102.1104,-972410.3369,-2096387.081,-4495906.8
44,7.1842,11.5342,-550.993,-2286.3898,-1224.2799,-1242.6881,-15500.3262,-2271.8602,-51549.0432,-105288292.9,-126005335.9,-165553552,-238324900.7,-384628504.7,-684814234.2,-1347821968,-2639649873,-5505162607,-11461930398,886739.2976,1846369.894,15188096.26,-72327.2485,-123816.4235,-231829.4206,-476581.5104,-969114.4165,-2089333.291,-4480873.642
45,2.6513,9.6336,-24.1446,-548.4654,-207.1748,-446.6453,-3462.8226,-1599.3516,-50061.9302,-33974774.66,-41056043.86,-54517173.3,-79350145.87,-129377623.5,-232251728.7,-459227808.1,-903603099.6,-1889647731,-3944060407,320159.9494,662510.2705,5477245.514,-57191.8065,-98375.3979,-184890.7547,-381067.3078,-776679.8763,-1677228.409,-3602188.858
46,3.3075,-407.6586,-80.4348,-2934.2472,-6501.6195,-3983.6772,-5114.254,-7764.8562,-45893.9699,-34676416.16,-42074246.46,-56250820.34,-82421895.12,-135343489.4,-244391604.9,-484474916.5,-955136702.4,-1997099269,-4167774000,337593.3359,689907.5258,5727153.727,-57670.2953,-99347.2051,-186948.449,-385498.649,-786000.4001,-1697200.935,-3644798.714
47,3.9836,8.5473,-31.7531,-1908.7295,-2371.2507,-579.4223,-13212.3582,-13408.8354,-235648.0683,-32985810.57,-40128193.07,-53757535.34,-79118524.08,-130271818.2,-235461402.3,-466627350.7,-920973612,-1925834047,-4018996281,315324.1826,656071.9287,5449545.791,-57135.0738,-98494.7333,-185395.8697,-382288.4611,-779690.3071,-1683677.604,-3615928.817
48,-25.6814,-44.5741,-842.9333,-12580.6168,-18306.024,-35763.2066,-58048.9997,-109966.868,-864742.652,-127557408.1,-154831177.3,-207499523.4,-305830599.2,-504470830.6,-912350725.9,-1804912423,-3555191148,-7409109793,-15414379112,1127215.492,2319160.525,19317948.26,-76003.4086,-130606.6752,-245195.761,-504376.0238,-1026471.625,-2212061.497,-4742343.443
49,-36772.2331,-164385.8038,-379830.5701,-961857.9771,-1411904.602,-246849.815,-2725308.1,-532636.238,-732906.7428,-121854805.5,-149651147.7,-204072966.6,-307200740.5,-515698554.3,-947900731.3,-1884243488,-3721355253,-7753743068,-16130152232,1265557.785,2439855.453,20022209.67,-75650.3102,-130707.3859,-246618.967,-507954.0418,-1034757.547,-2229773.123,-4780073.942
50,-571443.543,-526142.2577,-378824.2139,-859245.0948,-1396826.701,-2997326.291,-49093811.58,-4109849.027,-116122556.8,-105303172.8,-124193743.6,-158666823,-224562361.4,-357086114.2,-629704058.3,-1221231513,-2371496323,-4938948027,-10130200163,860566.6957,2185491.655,13054118.3,-68749.8101,-116957.4328,-218065.364,-446279.3296,-909727.557,-1961741.695,-4201086.058
51,6.2552,-44.9363,-121.1941,-2808.1823,-2632.2994,-3182.2735,-49754.3601,-1099.0909,-710.0157,-104179537.5,-124566139.8,-163517474.6,-234984150.6,-378788564.7,-673262674.2,-1325958956,-2595587029,-5413489540,-11271616095,877029.0163,1851726.823,15091700.09,-72117.8695,-123433.7933,-231042.8931,-475037.9085,-965908.438,-2082472.026,-4466254.435
52,5.9049,5.7468,-84.1776,-19966.4477,-956.1573,-3619.5683,-4558.4306,-5011.7264,-21363.1005,-111098925.5,-132600239.2,-173701145.3,-248832221.9,-400041180.9,-710058363.6,-1396777446,-2730767244,-5694724606,-11855796889,942530.9912,1949056.813,15990745.17,-72958.6948,-124792.6156,-233500.7926,-479945.8429,-975584.8065,-2103180.524,-4510382.369
53,4.611,11.5031,-68.9967,-2413.7618,-1976.7154,-1574.2462,-1887.2897,-1250.2785,-25616.8591,-93001569.08,-111748700.6,-147650956,-213801660.6,-347001517.5,-620366277.2,-1223469648,-2399829642,-5006147692,-10425206415,810728.7591,1676022.278,13828307.1,-70742.0147,-121270.0245,-227290.1769,-467504.4628,-951054.9282,-2050681.032,-4398503.292
54,7.4664,-17.5799,-756.086,-5259.7885,-101823.9854,-20700.1887,-151706.1063,-8296.8507,-112400.9358,-57694029.15,-68896414.36,-90236325.31,-129017477.1,-206806532.1,-367340037.9,-722549537.1,-1411824367,-2948979571,-6148392242,542154.9402,1060686.272,8771838.326,-63591.7579,-108872.0428,-204002.4492,-419715.4155,-853759.2617,-1842362.52,-3954406.814
55,-9677.0801,-32506.7978,-151091.7678,-2329579.553,-2269694.26,-1158382.112,-137569.1276,-6503.4825,-23784.8163,-75401922.22,-89960399.73,-117584295.1,-168394212.9,-271198228.2,-480579243,-943058121,-1845750805,-3852771642,-8028056225,724177.2215,1320211.736,10934743.94,-66605.2361,-114657.7496,-215339.4587,-442863.1688,-901170.0841,-1943890.37,-4170879.127
56,6.7102,1.5796,-63.52,-1701.6659,-10077.4671,-20248.2814,-245871.0762,-27474.8655,-917637.2038,-59131124.25,-71170747.37,-93944899.67,-136195505.9,-221227670.1,-395841668.3,-780616627.5,-1535487872,-3206543724,-6682562119,495585.2153,1079529.021,8784348.327,-64348.5978,-110441.3178,-207197.8608,-426449.4745,-868569.9417,-1874080.071,-4021993.626
57,2.3165,8.2397,-10.2041,-129.0547,-385.9948,-1089.7256,-2930.4891,-511.2328,-10622.6084,-61503966.67,-74027132.63,-97944821.52,-141969187.9,-230627522.2,-412722237.2,-815032013.5,-1600319306,-3341673438,-6965386523,553643.4045,1148535.489,9456635.308,-64945.6147,-111460.6984,-209104.6879,-430473.3796,-876336.836,-1890716.015,-4057515.958
58,3.8468,14.1914,-15.7584,-71.0844,-187.4507,-162.6302,-539.0092,-187.4893,-1713.1615,-64918417.19,-78089616.01,-103263374.1,-149562388.8,-242792842.4,-434244419.2,-857305831.9,-1682493457,-3512823329,-7321314169,585235.9127,1208234.1,9954705.047,-65668.3878,-112670.7532,-211329.2933,-434995.8402,-885397.1246,-1910117.626,-4098881.879
59,2.3933,7.4786,-73.843,-646.6816,-102.9099,-2354.1062,-13496.2354,-1011.9268,-38581.4037,-61196806.79,-73447496.75,-96910193.4,-139863204,-226296952.2,-403817726.6,-796627791.2,-1560834920,-3259428125,-6794274547,566912.6935,1145774.944,9456082.663,-64738.2526,-111015.3519,-208152.4166,-428435.8838,-871832.0437,-1881068.998,-4036945.369
60,2.8039,10.4945,-43.8164,-1441.5285,-16.7823,-425.4435,-131.2321,-178.0552,-860.7185,-65965780.68,-79340330.05,-104941176.7,-152057017.7,-246870571.3,-441536120.1,-871569674,-1710235446,-3570598772,-7441451144,596877.0706,1226422.667,10119402.87,-65898.2903,-113064.1798,-212060.8823,-436477.5974,-888368.5637,-1916480.359,-4112447.13
61,3.6091,11.8172,-61.9022,-3462.4313,-675.7514,-304.6013,-3986.3961,-14.1473,-886.41,-67042147.23,-80587116.9,-106534630.9,-154226817.9,-250154463.1,-447073332.2,-882097599.2,-1729776667,-3611295007,-7526069553,611137.1297,1244950.641,10288111.65,-66095.327,-113376.156,-212607.801,-437553.8472,-890429.1532,-1920892.641,-4121853.861
62,3.2527,10.3006,-42.1399,-2078.9513,-846.2516,-246.7094,-392.9196,-69.7278,-3469.0134,-66116103.5,-79403562.62,-104812109.9,-151451494.1,-245384162.7,-438100623.9,-864368350.9,-1694612364,-3538063129,-7373790786,599112.5992,1227971.748,10117751.76,-65842.7311,-112921.5477,-211718.1898,-435733.4311,-886703.1291,-1912914.203,-4104844.007
63,3.5709,6.2854,-14.8552,-2815.3819,-3679.4752,-2296.3115,-22190.8706,-9.7045,-2358.8806,-50642814.96,-60979541.21,-80764235.35,-117110545.2,-190282127,-340507034.7,-672197698.8,-1318801516,-2755189852,-5745544276,479390.3579,964291.1491,7990616.304,-62316.3868,-107004.7607,-200819.243,-413509.1006,-841868.4935,-1816894.969,-3900105.635
64,1.3623,1.222,5.4501,-533.0843,-222.5114,-113.644,-762.9707,-758.95,-20137.1721,-50437536.53,-60772660.28,-80517026.45,-116884388.1,-190147342.1,-340605744.5,-672688156.4,-1321471338,-2760749036,-5757057731,463340.5594,953710.304,7884715.754,-62291.5444,-106989.436,-200831.7401,-413571.6171,-842217.015,-1817641.342,-3901695.694
65,4.4471,-14.7179,-12.1316,-286.6876,-204.3368,-481.5628,-4073.7889,-168.9163,-7973.4729,-53724609.96,-64562553.48,-85270051.07,-123210642.1,-199627001.1,-356581696.2,-703791320.4,-1380112420,-2882940150,-6011285986,498678.0826,1014164.088,8368877.059,-63005.141,-108106.6839,-202788.1703,-417515.3024,-849883.6726,-1834062.717,-3936715.469
66,1.0147,5.6711,-116.341,-198.3875,-838.0036,-149.9152,-2073.9685,-273.2095,-3144.2572,-127743791.9,-152834108.9,-200879535.9,-289108836.5,-466688560,-830974496.2,-1635651392,-3201578407,-6674071658,-13889963903,1076861.101,2225833.245,18320727.73,-75199.2185,-128683.9294,-240865.5189,-495032.4539,-1006297.043,-2168901.132,-4650416.24
67,1.7155,10.2756,-39.1043,-415.9267,-5494.531,-562.4978,-5374.4528,-385.0834,-3992.4839,-154051294.6,-184561909.3,-243285819.4,-351285539,-568810820.4,-1014509649,-1997852966,-3910471952,-8148079112,-16950417637,1314547.933,2684191.748,22159409.57,-78158.5784,-133773.2448,-250389.0314,-514510.3806,-1045651.089,-2253096.544,-4829781.704
