,mean_MFCC_2nd_coef,mean_MFCC_7th_coef,mean_MFCC_10th_coef,std_MFCC_1st_coef,std_MFCC_2nd_coef,std_MFCC_6th_coef,std_MFCC_7th_coef,std_MFCC_8th_coef,std_MFCC_12th_coef,std_delta_log_energy,std_1st_delta,std_2nd_delta,std_3rd_delta,std_4th_delta,std_5th_delta,std_6th_delta,std_7th_delta,std_8th_delta,std_9th_delta
20,0.45448,-1.0357,-0.8023,0.75906,0.32969,0.26372,0.32413,0.28095,0.20256,0.045134,0.095121,0.049577,0.041647,0.040325,0.03474,0.035135,0.037352,0.039864,0.032059
21,1.4909,1.6874,1.3464,0.75957,0.34179,0.30196,0.29239,0.22614,0.20987,0.03584,0.06702,0.046151,0.044917,0.045997,0.035088,0.042254,0.044068,0.031802,0.028612
22,1.2594,1.1016,0.904,0.4567,0.40165,0.24966,0.27508,0.27822,0.22265,0.046321,0.054494,0.061541,0.046418,0.045403,0.035976,0.033246,0.040118,0.040042,0.028858
23,1.2099,1.4846,1.0131,0.44792,0.38727,0.24985,0.21512,0.23407,0.19322,0.030428,0.054189,0.064396,0.051597,0.039817,0.02709,0.030029,0.028,0.027149,0.032941
24,1.0426,-0.15936,-0.48328,0.70202,0.55329,0.38797,0.30457,0.28715,0.19126,0.030772,0.089951,0.063254,0.041469,0.041586,0.043503,0.042208,0.031834,0.041236,0.034424
25,0.18971,-0.39805,-0.89084,0.7065,0.38843,0.40396,0.20819,0.37823,0.23375,0.039409,0.074968,0.042982,0.038698,0.047225,0.042144,0.040434,0.036899,0.036403,0.039673
26,-0.69319,-0.28884,-0.67933,0.68894,0.53339,0.38626,0.3303,0.30654,0.1883,0.028805,0.09264,0.044957,0.041392,0.033475,0.04989,0.049501,0.044341,0.027836,0.031681
27,3.2723,0.64539,0.64446,0.31911,0.25064,0.24647,0.27603,0.19213,0.2014,0.046573,0.050965,0.030447,0.026502,0.02449,0.028722,0.039215,0.042805,0.031963,0.025526
28,2.9799,0.0019819,0.30905,0.39438,0.44183,0.35201,0.22216,0.236,0.29772,0.055228,0.064566,0.065363,0.036073,0.036987,0.035792,0.045597,0.035504,0.031196,0.025139
29,2.7498,0.92409,0.19867,0.31859,0.25618,0.29445,0.26285,0.19221,0.17175,0.039803,0.051338,0.039094,0.026288,0.029132,0.024609,0.034108,0.04253,0.028782,0.02148
30,2.2431,-1.4172,-0.17598,2.1567,0.73422,0.57025,0.35447,0.42915,0.30672,0.07242,0.26362,0.083828,0.10565,0.058341,0.049839,0.075811,0.056932,0.060866,0.04257
31,3.1951,-1.8479,-0.42226,2.3049,0.56952,0.39517,0.36158,0.38145,0.24744,0.061639,0.24461,0.079855,0.11078,0.0771,0.067151,0.068966,0.049993,0.062735,0.045912
32,1.7388,-2.0486,-0.8921,2.1615,0.54162,0.46867,0.42208,0.4653,0.31749,0.059961,0.25209,0.093344,0.10461,0.079482,0.066945,0.068856,0.062654,0.071231,0.058085
33,0.92812,-1.2169,-1.3351,0.4587,0.34363,0.27287,0.1976,0.19668,0.20314,0.031128,0.067618,0.043209,0.028872,0.040005,0.072749,0.040873,0.031385,0.031757,0.029962
34,-0.12565,-1.8423,-1.6123,0.45627,0.48382,0.21794,0.2709,0.15603,0.24579,0.021758,0.049392,0.038269,0.028245,0.038981,0.043944,0.025458,0.025065,0.02346,0.029788
35,0.13828,-1.8349,-1.9505,0.31426,0.31104,0.34929,0.50367,0.22514,0.16976,0.01716,0.037406,0.021519,0.02793,0.025746,0.028202,0.027814,0.02303,0.020273,0.025292
36,0.96335,0.63757,0.10392,0.36769,0.34101,0.27306,0.29802,0.25066,0.26507,0.032864,0.045879,0.048709,0.043495,0.036645,0.037302,0.038748,0.036982,0.033133,0.030296
37,1.2571,0.61079,-0.072689,0.3799,0.3305,0.2944,0.24597,0.20268,0.28551,0.027734,0.041441,0.042472,0.032619,0.037511,0.040917,0.03967,0.026567,0.030295,0.025869
38,1.0681,1.4095,-0.21404,0.48466,0.43047,0.27286,0.27392,0.21175,0.20689,0.030346,0.063845,0.051944,0.054836,0.053119,0.049744,0.037022,0.042795,0.028678,0.029536
39,1.2316,-0.22902,1.2199,0.44035,0.35272,0.52425,0.20188,0.33448,0.31465,0.012351,0.029961,0.038107,0.029256,0.030869,0.028722,0.032766,0.026726,0.031199,0.023695
40,1.6658,-0.054811,0.3656,1.4001,0.55568,0.47103,0.68468,0.39045,0.44472,0.058862,0.064567,0.063545,0.050321,0.041944,0.047085,0.049258,0.042173,0.03932,0.033632
41,1.2542,-0.37913,0.71715,0.90863,0.42638,0.41491,0.30417,0.29013,0.26082,0.018584,0.041747,0.036436,0.041507,0.04009,0.03438,0.036543,0.031618,0.034796,0.030455
42,1.445,-0.9642,-1.805,0.32947,0.18811,0.20161,0.22943,0.17702,0.17984,0.036341,0.036123,0.025319,0.026244,0.03093,0.025947,0.028995,0.02949,0.023462,0.027741
43,1.567,-0.36811,-1.5025,0.42079,0.38438,0.2894,0.20478,0.28507,0.2923,0.063289,0.045237,0.038669,0.048489,0.044067,0.028751,0.025447,0.026421,0.030994,0.030306
44,1.561,-0.54786,-1.664,0.44925,0.33643,0.25875,0.19663,0.23004,0.16046,0.040376,0.055541,0.03898,0.044954,0.02967,0.033042,0.03677,0.035211,0.039542,0.034908
45,2.9202,-1.3678,-0.67717,1.9277,0.61976,0.32789,0.37462,0.33236,0.25539,0.063416,0.26388,0.073857,0.12277,0.075936,0.087591,0.058118,0.052826,0.060627,0.045963
46,3.3099,-1.4006,-0.7844,1.8658,0.62718,0.40724,0.35304,0.39517,0.34237,0.065826,0.17614,0.08815,0.10267,0.077975,0.070523,0.06244,0.049291,0.06002,0.050014
47,3.0958,-1.4385,-0.62814,1.7405,0.60856,0.46347,0.38114,0.38673,0.26281,0.07132,0.21497,0.10259,0.1281,0.082838,0.088449,0.05259,0.059159,0.071315,0.059499
48,2.5756,1.1675,0.47052,0.42233,0.32386,0.35207,0.34067,0.32925,0.30424,0.047998,0.047193,0.054019,0.045106,0.049221,0.044178,0.048551,0.054705,0.04451,0.041784
49,1.825,1.1215,0.18142,0.4922,0.36843,0.28133,0.2925,0.31129,0.2826,0.047939,0.052669,0.050674,0.056236,0.048263,0.053846,0.038875,0.0423,0.039075,0.037849
50,2.9311,1.0005,-0.33208,0.25258,0.32053,0.29348,0.27224,0.25402,0.24995,0.039464,0.033904,0.047282,0.039579,0.04466,0.038654,0.042503,0.042972,0.037826,0.031645
51,-0.98526,0.34529,-0.89165,0.49223,0.53532,0.42032,0.37679,0.35323,0.26879,0.058152,0.063681,0.067269,0.064606,0.058137,0.052138,0.057226,0.050811,0.043458,0.04931
52,-0.75193,-0.08269,-0.89295,0.61408,0.54492,0.44244,0.38754,0.42111,0.29995,0.06725,0.090325,0.069669,0.078479,0.085362,0.066171,0.060091,0.04762,0.064776,0.061429
53,-2.1551,0.84135,-0.60777,0.75185,0.69787,0.47434,0.42658,0.3012,0.22919,0.048739,0.095259,0.088139,0.08956,0.075868,0.077474,0.058616,0.057548,0.045938,0.043944
54,-0.28259,0.89633,-1.287,0.79109,0.80277,0.5159,0.50796,0.32812,0.28884,0.036214,0.10202,0.11176,0.10003,0.085437,0.077642,0.07516,0.064547,0.053427,0.051975
55,0.28409,0.49398,-1.519,1.087,1.1589,0.51508,0.44893,0.61196,0.39147,0.049641,0.12359,0.1353,0.11367,0.091484,0.076127,0.076129,0.063942,0.067876,0.065228
56,0.51097,0.82009,-1.4962,0.68097,0.72428,0.44088,0.33409,0.33147,0.25295,0.053169,0.10178,0.089941,0.093419,0.087466,0.072984,0.070277,0.051732,0.057457,0.045723
57,-0.078299,-0.066652,-1.2659,0.83977,0.69431,0.48069,0.40823,0.37128,0.23731,0.038254,0.098913,0.073484,0.07198,0.073882,0.062519,0.060745,0.057146,0.049459,0.04346
58,0.00043904,0.35843,-1.665,0.71236,0.63081,0.46245,0.44532,0.3911,0.33387,0.03825,0.13026,0.10683,0.10002,0.096524,0.079408,0.069898,0.06882,0.062467,0.076448
59,-1.3452,-0.32791,-0.36197,0.95433,0.90382,0.54026,0.41477,0.35574,0.21103,0.025893,0.12631,0.12712,0.091889,0.086392,0.069719,0.069983,0.045996,0.054766,0.039433
60,1.7034,1.1305,-0.099283,0.43353,0.25818,0.37532,0.38723,0.30697,0.18264,0.026211,0.062466,0.041634,0.03324,0.038757,0.04096,0.04134,0.063408,0.053846,0.051378
61,2.1992,1.0245,-0.41318,0.35882,0.27939,0.37501,0.33254,0.34657,0.23931,0.023087,0.047356,0.039244,0.03712,0.028477,0.034224,0.033584,0.039006,0.042453,0.046019
62,1.6752,0.82109,-0.73463,0.52617,0.42163,0.18351,0.36121,0.38336,0.24982,0.037234,0.053402,0.045687,0.037015,0.039744,0.035777,0.030349,0.040465,0.042071,0.031775
63,3.4838,-0.80811,0.43535,0.72213,0.55726,0.63917,0.35689,0.32467,0.31494,0.035463,0.10281,0.09107,0.10643,0.082301,0.078367,0.076753,0.050341,0.056058,0.047781
64,3.8835,-0.24752,0.38836,0.78434,0.44752,0.55941,0.28372,0.27657,0.25193,0.03423,0.10828,0.05722,0.096143,0.079275,0.0561,0.077055,0.03813,0.042159,0.035528
65,3.0587,-1.2419,0.14052,0.84328,0.56169,0.44894,0.3106,0.33838,0.35023,0.035502,0.13188,0.086792,0.10932,0.092977,0.075819,0.074097,0.052216,0.056062,0.062029
66,-0.45532,-0.46087,-1.194,0.63571,0.54023,0.21957,0.18924,0.25672,0.17849,0.02788,0.080636,0.067683,0.046586,0.043074,0.055434,0.037087,0.029851,0.038798,0.035663
67,-1.5647,-0.22022,-1.7066,0.67551,0.45902,0.32065,0.26331,0.29874,0.16884,0.014142,0.090048,0.073714,0.083751,0.073219,0.046314,0.049346,0.044317,0.042706,0.047517
68,-1.1452,0.27789,-1.1006,0.8144,0.37534,0.64604,0.51857,0.2445,0.30259,0.023566,0.12094,0.064376,0.04065,0.055849,0.051229,0.072242,0.045408,0.03316,0.043167
69,1.109,0.095647,-0.79715,0.36093,0.40348,0.23051,0.22982,0.22451,0.27042,0.027828,0.0406,0.048753,0.037891,0.047779,0.038975,0.034793,0.029893,0.027508,0.026168
70,2.261,-0.14341,-1.0738,0.38757,0.29444,0.35887,0.26814,0.26497,0.24537,0.023963,0.03303,0.031329,0.033468,0.04336,0.037354,0.034149,0.035136,0.033603,0.032763
71,1.6273,-0.64791,-1.1977,0.85098,0.78558,0.54083,0.31954,0.2661,0.34076,0.096189,0.069026,0.074152,0.054934,0.067192,0.050791,0.047629,0.05449,0.045732,0.045265
72,-0.38183,-0.060217,0.12015,0.52346,0.60574,0.42338,0.32654,0.32269,0.27243,0.025718,0.074341,0.075433,0.05246,0.060344,0.052369,0.059161,0.043305,0.054612,0.050998
73,-1.4081,-0.28874,-0.59945,0.68676,0.48426,0.18595,0.12144,0.15171,0.19459,0.028585,0.10009,0.069296,0.054497,0.042781,0.033022,0.026355,0.018715,0.020731,0.014561
74,-0.54844,-0.31949,0.017604,0.76398,0.69145,0.28609,0.22933,0.20447,0.17796,0.029745,0.095471,0.090434,0.077892,0.063422,0.051619,0.034065,0.029462,0.027313,0.027956
75,2.044,0.84782,-1.6549,0.22088,0.20611,0.21896,0.22027,0.20008,0.17648,0.031869,0.030888,0.029607,0.038969,0.032471,0.028996,0.023993,0.029945,0.023302,0.028249
76,3.0053,0.90474,-2.1826,0.43467,0.34623,0.32807,0.31715,0.21263,0.30858,0.041855,0.044423,0.056466,0.037178,0.043508,0.039466,0.039494,0.032741,0.030323,0.041493
77,1.5723,0.56257,-1.4051,0.23636,0.40892,0.30059,0.22169,0.21343,0.19925,0.026623,0.025431,0.051853,0.037275,0.032029,0.033531,0.031023,0.027289,0.030636,0.026582
78,-0.025471,0.9787,-0.30173,0.41666,0.29472,0.23131,0.30724,0.24804,0.27694,0.015775,0.036566,0.037647,0.040674,0.041556,0.032325,0.02605,0.02563,0.028144,0.027608
79,-0.17811,0.7368,-0.45852,0.36132,0.27073,0.2172,0.26425,0.23976,0.19299,0.015188,0.037748,0.040468,0.035349,0.034472,0.029382,0.027733,0.029908,0.031771,0.027199
80,0.81424,0.7074,-0.61208,0.28181,0.34577,0.24802,0.23006,0.23104,0.256,0.01141,0.031383,0.027076,0.042601,0.039937,0.029128,0.030225,0.030656,0.025995,0.02933
81,0.77521,0.13787,-0.31321,0.30501,0.45994,0.27495,0.24669,0.24505,0.25819,0.039568,0.054826,0.046429,0.029651,0.036632,0.03971,0.031675,0.044842,0.043083,0.03172
82,1.5103,0.52518,-0.47456,0.30014,0.6525,0.27323,0.27061,0.23692,0.25047,0.02294,0.040645,0.081484,0.047915,0.054177,0.046987,0.045437,0.035947,0.036767,0.036293
83,0.4702,-0.047695,-0.26612,0.31773,0.37035,0.33184,0.29357,0.26283,0.22318,0.041866,0.048845,0.055812,0.05661,0.042626,0.04328,0.040776,0.032221,0.035704,0.033984
84,0.30772,0.60818,-0.3729,0.31737,0.45868,0.19859,0.21695,0.18782,0.22525,0.029685,0.039069,0.072555,0.037436,0.036889,0.033471,0.028133,0.031597,0.026019,0.027215
85,1.899,0.86462,-0.36685,0.30108,0.29072,0.26255,0.28045,0.22633,0.24179,0.041834,0.038494,0.041635,0.044333,0.048027,0.042862,0.038717,0.0453,0.032128,0.041754
86,1.8577,1.1764,0.023363,0.4879,0.39939,0.27682,0.24086,0.21886,0.23522,0.023685,0.054771,0.04739,0.040354,0.045793,0.033706,0.030987,0.033031,0.028431,0.026958
87,-0.73257,0.27861,-1.7576,0.54606,0.34828,0.21218,0.18644,0.16045,0.19425,0.020812,0.0704,0.045999,0.031453,0.028525,0.028031,0.02413,0.018863,0.021081,0.02312
88,-0.40549,0.45187,-1.5601,0.56044,0.34166,0.24088,0.12033,0.17154,0.17488,0.017735,0.061329,0.036467,0.023011,0.025982,0.0322,0.025421,0.015234,0.021241,0.020097
89,-0.31404,0.31656,-1.2606,0.57481,0.26703,0.22631,0.25049,0.20501,0.20172,0.018277,0.07003,0.03562,0.032502,0.03139,0.028774,0.030155,0.026792,0.028724,0.026293
90,1.8754,-0.23205,-1.4557,0.71987,0.3992,0.43636,0.42784,0.45664,0.35723,0.05978,0.064674,0.050838,0.067502,0.078956,0.062419,0.060307,0.044938,0.052252,0.060747
91,4.2619,-0.93354,-2.1319,0.68428,0.44347,0.3862,0.46478,0.37628,0.3955,0.067215,0.081354,0.053802,0.072135,0.073633,0.071887,0.057291,0.063009,0.05633,0.054893
92,3.4137,-1.039,-1.889,0.50549,0.34049,0.36759,0.4179,0.4602,0.27451,0.07386,0.075114,0.055007,0.073281,0.086768,0.060002,0.052787,0.061492,0.07301,0.06111
93,2.9095,0.52957,0.63478,0.47961,0.33226,0.33877,0.31227,0.33616,0.23583,0.027241,0.058552,0.044696,0.043526,0.042292,0.045372,0.044533,0.036307,0.039385,0.032968
94,2.6174,-0.0058575,-0.027345,0.38671,0.83854,0.24716,0.24828,0.22736,0.23479,0.026368,0.042596,0.091041,0.036192,0.033107,0.031852,0.032496,0.035196,0.022105,0.033188
95,2.8956,0.33898,0.060062,0.42018,0.34607,0.31528,0.25076,0.20716,0.19732,0.023319,0.04758,0.054357,0.043835,0.045201,0.036335,0.050604,0.032922,0.032872,0.033705
96,3.9177,-0.26219,-0.20419,1.8263,0.3427,0.37013,0.36324,0.31568,0.28247,0.077627,0.18668,0.054108,0.10551,0.064779,0.056097,0.055523,0.053971,0.048206,0.044388
97,3.6179,0.023419,0.3338,1.8767,0.30268,0.42979,0.43073,0.33681,0.22824,0.052617,0.20265,0.046312,0.092467,0.043472,0.050169,0.044929,0.039406,0.04243,0.033692
98,3.2595,-0.24469,-0.047588,1.9138,0.2886,0.53203,0.51761,0.36823,0.28357,0.074901,0.19823,0.052566,0.11377,0.051997,0.052764,0.070162,0.074918,0.059733,0.039675
99,3.2754,0.77513,0.26147,0.53695,0.29759,0.321,0.35284,0.3641,0.25007,0.007379,0.053045,0.029748,0.031758,0.040138,0.032942,0.040205,0.048163,0.033553,0.029102
100,1.9529,0.14074,0.17292,0.59592,0.36838,0.26315,0.23065,0.23962,0.19195,0.011418,0.061206,0.0428,0.049797,0.045321,0.030971,0.031857,0.026044,0.034599,0.030571
101,2.5366,0.51728,0.37188,0.6937,0.33891,0.26105,0.30164,0.22947,0.22408,0.009486,0.10567,0.053416,0.053364,0.043039,0.032148,0.039111,0.040236,0.030193,0.032606
102,1.0617,0.45934,-0.61726,0.48122,0.48,0.37621,0.28228,0.26452,0.3246,0.021415,0.057663,0.059098,0.06379,0.05663,0.04837,0.046566,0.045541,0.035308,0.039484
103,-0.12485,0.28723,-1.039,0.51996,0.68228,0.3096,0.23341,0.28357,0.20729,0.025497,0.049379,0.069848,0.064288,0.047824,0.034746,0.042744,0.031239,0.030333,0.031918
104,-0.37564,-0.018581,-1.4579,0.59021,0.73832,0.2433,0.22188,0.17481,0.16207,0.020637,0.084015,0.064317,0.055829,0.045983,0.035064,0.036572,0.030412,0.025478,0.02734
105,1.5247,-0.083098,-0.39745,0.38356,0.43206,0.24698,0.2405,0.20248,0.22168,0.038597,0.053559,0.055492,0.051094,0.0301,0.039134,0.031318,0.036817,0.033112,0.0378
106,1.1816,0.21304,-0.94209,0.41362,0.52291,0.24543,0.21312,0.21141,0.21563,0.032534,0.056418,0.064342,0.046519,0.046071,0.032763,0.033807,0.019077,0.032309,0.039879
107,1.1848,0.1556,-0.96246,0.3318,0.33202,0.34493,0.3032,0.23298,0.27081,0.028575,0.050905,0.050206,0.042416,0.036992,0.042765,0.042462,0.043131,0.032789,0.035653
108,-1.141,0.24349,-0.77471,0.49841,0.43821,0.25555,0.28782,0.25692,0.29739,0.01929,0.072659,0.056292,0.052209,0.047987,0.037573,0.033757,0.029806,0.02585,0.029483
109,-1.0513,1.1497,-0.8287,0.37152,0.33072,0.2534,0.24466,0.24661,0.17987,0.046873,0.048871,0.047095,0.040748,0.039693,0.034654,0.032771,0.038302,0.03609,0.029985
110,-0.65077,0.95246,-0.13428,0.34008,0.36189,0.3071,0.31138,0.27282,0.25431,0.03865,0.047541,0.0503,0.045583,0.052565,0.04293,0.041596,0.045203,0.035638,0.03557
111,-0.25877,0.54694,-0.78172,1.0561,0.90753,0.50877,0.36218,0.27747,0.28384,0.045769,0.14271,0.11331,0.11711,0.093912,0.066783,0.060816,0.055314,0.047967,0.050552
112,-1.2345,0.71879,-0.54561,1.011,0.87245,0.48341,0.29348,0.24406,0.31173,0.057211,0.159,0.12106,0.12388,0.10874,0.087917,0.080521,0.041523,0.042079,0.037998
113,-0.25877,0.54694,-0.78172,1.0561,0.90753,0.50877,0.36218,0.27747,0.28384,0.045769,0.14271,0.11331,0.11711,0.093912,0.066783,0.060816,0.055314,0.047967,0.050552
114,3.1895,0.45664,0.015849,0.41946,0.23393,0.27391,0.27704,0.22198,0.2678,0.024341,0.059543,0.037964,0.03391,0.034891,0.029985,0.036791,0.041333,0.03945,0.038632
115,2.4801,0.34624,0.54747,0.41874,0.25062,0.28194,0.30224,0.28127,0.26132,0.029575,0.060716,0.042925,0.05904,0.057897,0.037283,0.046832,0.049338,0.035659,0.030519
116,2.855,-0.084871,0.59584,0.36895,0.26142,0.2681,0.24199,0.21831,0.22308,0.020961,0.056823,0.040471,0.033567,0.036484,0.038855,0.034852,0.033165,0.031439,0.029349
117,1.2445,0.01771,0.31011,0.4758,0.35006,0.29097,0.33901,0.2368,0.23113,0.025126,0.056603,0.040437,0.040403,0.039773,0.032423,0.038935,0.036056,0.034308,0.038316
118,1.1927,0.90204,0.67479,0.4391,0.44252,0.28485,0.26667,0.23393,0.20292,0.024401,0.051846,0.054315,0.048373,0.042608,0.028122,0.044561,0.030032,0.03587,0.029297
119,0.63616,0.17072,0.21684,0.4349,0.41061,0.21218,0.18347,0.18638,0.16821,0.033429,0.054466,0.050347,0.030952,0.034543,0.028162,0.032195,0.026526,0.023851,0.019754
120,0.25578,-0.073492,0.49598,0.93472,0.81349,0.35314,0.31793,0.30808,0.25786,0.033027,0.12562,0.11082,0.091963,0.078432,0.057681,0.04996,0.038013,0.051316,0.049838
121,0.51926,0.31676,-0.11631,0.68323,0.66263,0.38969,0.37967,0.36517,0.24075,0.045503,0.090922,0.10338,0.058597,0.060912,0.064162,0.052837,0.057046,0.046374,0.042884
122,-0.0524,-0.10097,-0.40434,0.60044,0.60393,0.4003,0.33891,0.31995,0.20244,0.04564,0.075796,0.085481,0.065941,0.05613,0.05422,0.051375,0.048552,0.043429,0.034819
123,-2.5616,0.17134,-1.3642,0.66595,0.42786,0.20213,0.19696,0.31917,0.24467,0.016252,0.063265,0.04423,0.034375,0.030271,0.037104,0.032034,0.02955,0.035032,0.026769
124,-3.3497,0.26156,-0.82052,0.41102,0.27237,0.22082,0.165,0.21892,0.14603,0.010921,0.059416,0.047132,0.03288,0.024208,0.024399,0.032619,0.023397,0.028048,0.021406
125,-3.5566,0.46546,-0.50348,0.54778,0.28691,0.20833,0.20411,0.13558,0.1572,0.0056663,0.078999,0.028868,0.02279,0.023806,0.021535,0.021252,0.028354,0.01496,0.01442
126,0.59492,-0.23831,-0.41556,0.65744,0.7675,0.2541,0.23302,0.2146,0.16111,0.01519,0.086203,0.096708,0.050521,0.060437,0.040279,0.03803,0.032112,0.032286,0.030476
127,0.7966,-0.13532,-0.4669,0.53911,0.7834,0.38952,0.36366,0.31196,0.1911,0.016361,0.058248,0.070963,0.052792,0.050524,0.052395,0.044686,0.047102,0.049901,0.031961
128,0.80108,-0.2275,-0.55461,0.47707,0.47779,0.30822,0.31011,0.27881,0.18224,0.012465,0.055357,0.066699,0.0463,0.057494,0.047214,0.043277,0.042286,0.043404,0.032017
129,3.7246,0.19493,0.38201,0.39889,0.4086,0.3103,0.34193,0.27262,0.22099,0.02813,0.055911,0.057257,0.047284,0.051966,0.046709,0.054234,0.045932,0.041054,0.035416
130,3.6447,0.59789,0.1941,0.58821,0.29274,0.27571,0.38985,0.3299,0.15266,0.029515,0.074791,0.03876,0.025574,0.029231,0.038569,0.044444,0.05586,0.04178,0.033972
131,3.4869,0.57304,0.41301,0.63747,0.26351,0.32516,0.34322,0.21143,0.18787,0.02316,0.075793,0.035929,0.035535,0.037338,0.040799,0.032169,0.040865,0.029752,0.032154
132,-0.13946,-1.4979,0.032634,0.52197,0.47787,0.28053,0.19451,0.23304,0.16988,0.015584,0.072608,0.063493,0.046071,0.034723,0.031323,0.030551,0.0246,0.033511,0.024387
133,0.32376,-1.1482,-0.096491,0.59031,0.50737,0.31838,0.23875,0.25078,0.2623,0.015674,0.078929,0.072268,0.044363,0.051223,0.046978,0.045271,0.030102,0.036141,0.031483
134,0.79021,-0.94677,-0.78888,0.57749,0.48708,0.34358,0.26089,0.2348,0.24114,0.019068,0.075105,0.056428,0.03763,0.055683,0.031822,0.034297,0.03008,0.03007,0.033246
135,-1.1385,0.29849,-1.1926,0.62044,0.49719,0.42646,0.21885,0.17024,0.15032,0.020997,0.08532,0.061133,0.041454,0.043309,0.046083,0.046347,0.022129,0.02085,0.021822
136,-0.047271,0.70906,-1.1769,0.61816,0.81411,0.55379,0.29393,0.23949,0.20135,0.023576,0.096729,0.10133,0.070188,0.051989,0.04868,0.05888,0.044311,0.028589,0.022237
137,-1.6412,0.37691,-0.97239,0.86138,0.72983,0.39435,0.22559,0.23991,0.15594,0.024775,0.12728,0.081543,0.045411,0.063838,0.064961,0.057942,0.039106,0.040492,0.030083
