,DFA,RPDE,numPulses,numPeriodsPulses,locShimmer,locDbShimmer,apq3Shimmer,apq11Shimmer,ddaShimmer,meanNoiseToHarmHarmonicity
36,0.74807,0.52028,260,259,0.11983,1.047,0.07046,0.08579,0.21137,0.039593
37,0.75192,0.41361,265,264,0.04701,0.406,0.02623,0.0351,0.07869,0.026296
38,0.68639,0.47103,267,266,0.06167,0.548,0.03103,0.0616,0.0931,0.01647
39,0.7233,0.32538,344,343,0.02786,0.245,0.01574,0.02094,0.04723,0.014096
40,0.72248,0.64741,215,214,0.06722,0.65,0.0351,0.05007,0.1053,0.073904
41,0.69601,0.49392,309,307,0.03764,0.334,0.01866,0.02666,0.05599,0.059018
42,0.79945,0.37209,402,401,0.05472,0.507,0.0319,0.03717,0.09571,0.018637
43,0.79509,0.36585,397,396,0.04211,0.385,0.02033,0.03432,0.06099,0.015731
44,0.7657,0.37052,400,399,0.03993,0.365,0.02053,0.03499,0.06159,0.009833
45,0.69205,0.59089,238,237,0.06996,0.631,0.03007,0.0725,0.09021,0.022101
46,0.69206,0.67128,240,239,0.09223,0.843,0.04311,0.08603,0.12934,0.038411
47,0.70522,0.70388,234,233,0.12446,1.127,0.0461,0.13974,0.13829,0.06841
48,0.72967,0.52382,434,433,0.13146,1.134,0.06489,0.10384,0.19467,0.073649
49,0.70885,0.6361,385,384,0.15324,1.457,0.08481,0.12695,0.25444,0.094605
50,0.78348,0.7403,389,388,0.20158,1.745,0.09736,0.16768,0.29209,0.26787
51,0.58151,0.50978,399,398,0.10508,0.966,0.04973,0.11329,0.14919,0.020185
52,0.57905,0.45109,411,410,0.09534,0.895,0.04074,0.10875,0.12223,0.017959
53,0.57581,0.55182,378,377,0.06831,0.616,0.02892,0.08118,0.08676,0.036504
54,0.69603,0.69229,303,302,0.08436,0.757,0.0423,0.07615,0.1269,0.08964
55,0.71769,0.69724,282,277,0.11075,0.985,0.05837,0.074,0.17511,0.192379
56,0.63726,0.59403,306,305,0.06121,0.576,0.03274,0.04532,0.09822,0.036746
57,0.63744,0.40531,312,311,0.03961,0.354,0.01621,0.04461,0.04863,0.011195
58,0.6336,0.61144,319,318,0.05278,0.461,0.02457,0.05492,0.07372,0.019304
59,0.61862,0.57418,311,310,0.05249,0.499,0.01995,0.0613,0.05984,0.021144
60,0.64209,0.49305,322,321,0.0292,0.251,0.01164,0.0342,0.03493,0.004051
61,0.63879,0.48776,324,323,0.0239,0.208,0.01068,0.02408,0.03205,0.003901
62,0.66136,0.54195,322,321,0.03902,0.338,0.01526,0.0444,0.04579,0.004104
63,0.73949,0.42878,285,284,0.0546,0.509,0.02794,0.04566,0.08383,0.00771
64,0.77936,0.42558,285,284,0.03739,0.34,0.01991,0.02953,0.05974,0.00626
65,0.68465,0.50868,244,241,0.08177,0.777,0.04385,0.0642,0.13156,0.029657
66,0.63919,0.25372,437,436,0.03387,0.303,0.01326,0.03557,0.03978,0.001674
67,0.62059,0.41556,476,475,0.01374,0.119,0.00636,0.01347,0.01909,0.001309
68,0.5862,0.54385,489,488,0.0165,0.149,0.00602,0.02014,0.01805,0.002332
69,0.72199,0.45493,233,232,0.04174,0.366,0.0211,0.03662,0.06329,0.025282
70,0.76904,0.45118,232,231,0.07485,0.661,0.03845,0.0637,0.11535,0.01949
71,0.77186,0.62721,231,230,0.07151,0.687,0.03246,0.07369,0.09739,0.062826
72,0.7121,0.61151,166,165,0.06546,0.57,0.03451,0.06173,0.10353,0.04559
73,0.674,0.51269,174,173,0.05333,0.467,0.02901,0.04588,0.08703,0.054546
74,0.70358,0.67909,286,285,0.06911,0.612,0.03923,0.04768,0.1177,0.132595
75,0.78023,0.42484,353,352,0.11572,1.009,0.06306,0.08378,0.18918,0.017351
76,0.79762,0.40497,358,357,0.1158,1.006,0.0606,0.0834,0.18179,0.016233
77,0.76831,0.34722,345,344,0.04631,0.408,0.02463,0.03394,0.07389,0.009861
78,0.67845,0.39639,298,297,0.03763,0.329,0.02131,0.02586,0.06394,0.019953
79,0.66426,0.35445,333,332,0.04212,0.366,0.02396,0.02843,0.07187,0.018868
80,0.67329,0.30476,343,342,0.03484,0.308,0.01979,0.02573,0.05938,0.009134
81,0.62269,0.48573,443,441,0.0421,0.406,0.01908,0.03856,0.05723,0.010192
82,0.72248,0.36795,441,440,0.0718,0.667,0.03607,0.05452,0.1082,0.015116
83,0.61553,0.58034,480,479,0.06808,0.593,0.03534,0.05133,0.10602,0.008523
84,0.71618,0.30468,439,438,0.08678,0.787,0.05097,0.05619,0.15292,0.011839
85,0.69617,0.28222,439,438,0.09718,0.898,0.05703,0.06373,0.1711,0.018061
86,0.76427,0.36046,447,446,0.0782,0.682,0.03931,0.05262,0.11792,0.022685
87,0.64735,0.29877,395,394,0.02076,0.18,0.0121,0.01547,0.0363,0.003238
88,0.64732,0.28517,393,392,0.01865,0.161,0.0111,0.01239,0.0333,0.003621
89,0.63579,0.24278,404,403,0.02126,0.185,0.00782,0.02917,0.02347,0.001616
90,0.81236,0.49772,366,365,0.09627,0.935,0.04585,0.07292,0.13756,0.198215
91,0.76417,0.69504,321,320,0.19615,1.732,0.07983,0.06559,0.2395,0.276724
92,0.79967,0.43329,391,390,0.07838,0.756,0.03881,0.06513,0.11642,0.0413
93,0.8,0.55702,220,219,0.04481,0.393,0.02475,0.03505,0.07426,0.046719
94,0.76833,0.5312,228,227,0.04533,0.395,0.02609,0.03283,0.07826,0.048061
95,0.79765,0.52362,229,228,0.08784,0.86,0.04788,0.06309,0.14364,0.040044
96,0.7923,0.76099,194,188,0.13571,1.251,0.06636,0.10031,0.19908,0.257497
97,0.8187,0.51009,221,220,0.06766,0.632,0.03711,0.0501,0.11134,0.01954
98,0.79163,0.6376,212,211,0.10586,1.029,0.04447,0.10457,0.13342,0.026427
99,0.64893,0.40274,236,235,0.01918,0.166,0.0094,0.0156,0.0282,0.002551
100,0.6292,0.44351,231,230,0.01967,0.169,0.01071,0.0166,0.03212,0.004949
101,0.65411,0.40255,228,227,0.01522,0.132,0.00779,0.01325,0.02337,0.003564
102,0.73215,0.48029,380,379,0.08424,0.777,0.04431,0.06316,0.13293,0.04517
103,0.66053,0.34074,373,372,0.05941,0.52,0.03266,0.04678,0.09799,0.014923
104,0.65901,0.27874,378,377,0.05055,0.441,0.02798,0.03873,0.08395,0.008817
105,0.67456,0.4089,401,399,0.08429,0.772,0.04205,0.06352,0.12615,0.00623
106,0.67512,0.37135,415,414,0.0327,0.283,0.01654,0.02506,0.04962,0.003942
107,0.64047,0.33134,421,420,0.03227,0.283,0.01597,0.02978,0.04792,0.004839
108,0.59661,0.57195,324,323,0.07719,0.683,0.04548,0.05582,0.13643,0.014862
109,0.59464,0.57059,313,312,0.0739,0.638,0.04157,0.05829,0.12472,0.024438
110,0.61915,0.53135,310,309,0.05689,0.502,0.031,0.05376,0.09299,0.021811
111,0.58465,0.6425,321,320,0.04575,0.411,0.01785,0.05261,0.05356,0.017126
112,0.576,0.65037,310,309,0.10041,0.893,0.04783,0.10074,0.1435,0.027963
113,0.58465,0.6425,321,320,0.04575,0.411,0.01785,0.05261,0.05356,0.017126
114,0.67622,0.34171,268,267,0.04807,0.422,0.02457,0.04387,0.07371,0.005723
115,0.65996,0.37744,272,271,0.03778,0.334,0.01496,0.04536,0.04488,0.00876
116,0.66543,0.30441,269,268,0.03127,0.272,0.015,0.02939,0.04499,0.008223
117,0.78623,0.40644,224,223,0.05633,0.492,0.03139,0.04282,0.09417,0.015323
118,0.73558,0.41782,234,233,0.06859,0.593,0.03822,0.05359,0.11466,0.019176
119,0.75251,0.35965,228,227,0.04778,0.42,0.0259,0.04193,0.07769,0.010353
120,0.68491,0.5213,229,228,0.07365,0.63,0.03277,0.09256,0.09832,0.021872
121,0.67812,0.5967,230,229,0.06811,0.603,0.02754,0.0784,0.08263,0.022149
122,0.66551,0.57009,230,229,0.04465,0.385,0.02019,0.0483,0.06058,0.012241
123,0.60333,0.24566,567,566,0.03345,0.291,0.01835,0.02541,0.05504,0.0033
124,0.56345,0.21761,578,577,0.01627,0.143,0.00955,0.01143,0.02864,0.002135
125,0.55221,0.20741,602,601,0.00656,0.057,0.00335,0.00522,0.01004,0.000618
126,0.64014,0.67291,166,165,0.14476,1.333,0.06802,0.085,0.20405,0.398969
127,0.63092,0.58637,243,242,0.05284,0.376,0.0276,0.02787,0.08281,0.109379
128,0.64393,0.57462,273,272,0.13118,1.171,0.0874,0.07295,0.26219,0.312417
129,0.74223,0.38481,320,319,0.03907,0.345,0.01994,0.03419,0.05983,0.007959
130,0.73136,0.31485,303,302,0.05792,0.507,0.03125,0.05481,0.09375,0.004996
131,0.75399,0.36358,308,307,0.03482,0.306,0.01844,0.02737,0.05531,0.004002
132,0.63507,0.34234,283,282,0.05873,0.503,0.03354,0.04432,0.10061,0.009272
133,0.65094,0.39729,282,281,0.04602,0.399,0.02868,0.02784,0.08605,0.018185
134,0.65865,0.39327,280,279,0.06301,0.548,0.03586,0.04726,0.10758,0.013382
135,0.61698,0.54541,314,313,0.01872,0.163,0.00897,0.0175,0.0269,0.003468
136,0.64508,0.58472,303,302,0.02623,0.232,0.01272,0.02476,0.03817,0.015044
137,0.62521,0.53539,328,327,0.02488,0.217,0.01284,0.02175,0.03853,0.00559
138,0.75399,0.77848,179,173,0.1122,0.987,0.05245,0.07951,0.15735,0.262408
139,0.7908,0.70571,222,221,0.09829,0.838,0.05275,0.06598,0.15826,0.061753
140,0.74456,0.71503,226,225,0.10164,0.852,0.04521,0.08421,0.13564,0.161894
141,0.60125,0.44782,351,350,0.02325,0.203,0.01308,0.01977,0.03924,0.00667
142,0.60081,0.50228,339,338,0.04873,0.44,0.02598,0.03988,0.07795,0.01343
143,0.62323,0.45198,333,332,0.03005,0.261,0.01712,0.02342,0.05137,0.011777
144,0.61539,0.20724,594,593,0.01691,0.148,0.00928,0.01293,0.02785,0.002904
145,0.62492,0.19559,577,576,0.01813,0.163,0.00925,0.01592,0.02774,0.002908
146,0.61626,0.17873,598,597,0.01967,0.171,0.01055,0.01665,0.03164,0.001828
147,0.56003,0.46637,488,487,0.13374,1.154,0.08144,0.08135,0.24433,0.006131
148,0.5532,0.34818,497,496,0.08411,0.779,0.05168,0.0511,0.15503,0.00703
149,0.57068,0.3761,498,497,0.08028,0.725,0.04969,0.04733,0.14907,0.013051
150,0.63133,0.36798,362,361,0.02685,0.237,0.01362,0.02129,0.04085,0.002416
151,0.61409,0.40233,359,358,0.03085,0.273,0.01493,0.02567,0.04478,0.002473
152,0.65789,0.36439,348,347,0.02733,0.239,0.01276,0.0244,0.03829,0.002513
153,0.67754,0.54731,268,267,0.09046,0.819,0.04465,0.09339,0.13396,0.01172
154,0.6819,0.47072,269,268,0.0855,0.828,0.041,0.08452,0.123,0.008768
155,0.68857,0.54937,270,269,0.06109,0.553,0.03106,0.04932,0.09318,0.006397
156,0.60243,0.52083,326,325,0.03146,0.276,0.01311,0.03563,0.03933,0.006557
157,0.61078,0.55249,320,319,0.02996,0.265,0.01373,0.0311,0.04118,0.006168
158,0.61203,0.60959,322,321,0.041,0.362,0.01947,0.04098,0.05841,0.005407
159,0.75772,0.42332,283,282,0.03231,0.279,0.01867,0.02406,0.056,0.015001
160,0.71322,0.44319,224,223,0.05533,0.469,0.03138,0.04047,0.09413,0.020715
161,0.75975,0.52351,230,227,0.07575,0.786,0.04051,0.06267,0.12153,0.01615
162,0.7884,0.51758,266,265,0.05574,0.583,0.02802,0.04425,0.08405,0.014802
163,0.76948,0.53788,252,251,0.09061,0.778,0.05254,0.06286,0.15761,0.058656
164,0.78089,0.58026,257,256,0.04915,0.482,0.02684,0.0393,0.08053,0.018649
165,0.81445,0.52792,317,316,0.09509,0.938,0.04012,0.09451,0.12035,0.010847
166,0.8077,0.48638,325,324,0.05181,0.49,0.0244,0.04805,0.0732,0.008833
167,0.71129,0.57576,330,329,0.06477,0.668,0.02687,0.06561,0.08061,0.008672
168,0.62873,0.60956,239,238,0.11152,0.998,0.04287,0.12801,0.1286,0.073704
169,0.65182,0.67519,237,236,0.1839,1.579,0.09998,0.12569,0.29994,0.199231
170,0.61493,0.6002,242,241,0.06602,0.578,0.03553,0.05983,0.1066,0.053351
171,0.75269,0.67407,299,298,0.09188,0.873,0.04599,0.08046,0.13796,0.053391
172,0.70874,0.66798,323,322,0.13096,1.165,0.06077,0.11551,0.18231,0.03067
173,0.76206,0.62183,310,309,0.04899,0.489,0.02215,0.05022,0.06646,0.01744
174,0.778,0.33606,309,308,0.02558,0.223,0.01312,0.02301,0.03937,0.005548
175,0.71434,0.36445,320,319,0.03691,0.328,0.0184,0.03553,0.0552,0.006862
176,0.70245,0.40455,324,323,0.04386,0.384,0.02473,0.03448,0.07419,0.007883
177,0.69934,0.41809,306,305,0.03939,0.346,0.02161,0.03203,0.06484,0.014482
178,0.69474,0.28747,416,415,0.05441,0.488,0.03027,0.03896,0.09082,0.006216
179,0.64148,0.50646,435,434,0.02956,0.262,0.01354,0.03162,0.04061,0.007668
180,0.75145,0.57752,387,386,0.14933,1.357,0.07591,0.0838,0.22773,0.109579
181,0.67848,0.54218,383,382,0.09748,0.953,0.04706,0.09331,0.14118,0.081737
182,0.68923,0.5671,335,334,0.06465,0.628,0.03279,0.05581,0.09836,0.066241
183,0.69145,0.52755,288,287,0.05613,0.497,0.02149,0.0676,0.06448,0.01496
184,0.6654,0.51596,304,303,0.08795,0.862,0.0389,0.08278,0.11671,0.027751
185,0.67838,0.60454,276,275,0.08761,0.967,0.04209,0.08942,0.12627,0.077393
186,0.71591,0.54311,310,309,0.04529,0.403,0.01796,0.05403,0.05389,0.025178
187,0.65289,0.53007,312,311,0.04288,0.382,0.01577,0.05497,0.04731,0.01207
188,0.66352,0.54912,295,294,0.04051,0.366,0.02165,0.03305,0.06494,0.013162
189,0.76107,0.6465,199,198,0.11834,1.065,0.06285,0.10453,0.18855,0.046785
190,0.76093,0.69013,200,199,0.07979,0.715,0.04089,0.0726,0.12267,0.055369
191,0.75192,0.70634,198,197,0.10353,0.969,0.05898,0.0779,0.17694,0.08719
192,0.76041,0.61683,275,274,0.12525,1.194,0.05842,0.1358,0.17526,0.05638
193,0.70072,0.64984,293,292,0.09127,0.895,0.03879,0.09892,0.11638,0.029593
194,0.78088,0.56929,262,261,0.14792,1.361,0.06416,0.16742,0.19247,0.043623
195,0.62966,0.32571,299,298,0.02684,0.233,0.01321,0.02342,0.03963,0.004878
196,0.61689,0.33804,301,300,0.02184,0.188,0.0113,0.0173,0.03391,0.002591
197,0.62399,0.29659,300,299,0.02095,0.182,0.01088,0.01896,0.03265,0.002471
198,0.76946,0.44355,351,350,0.05488,0.502,0.0229,0.05752,0.06871,0.004471
199,0.79658,0.45866,336,335,0.02061,0.18,0.0092,0.02115,0.02761,0.00316
200,0.8009,0.43934,338,337,0.02392,0.215,0.01028,0.02424,0.03084,0.00237
201,0.67956,0.49123,354,353,0.08886,0.814,0.05126,0.05748,0.15377,0.011013
202,0.67772,0.47714,188,187,0.0275,0.239,0.01316,0.02824,0.03949,0.009703
203,0.62713,0.53534,308,306,0.0333,0.307,0.01786,0.02741,0.05357,0.022333
204,0.76597,0.39811,416,415,0.0373,0.332,0.01815,0.03393,0.05445,0.007215
205,0.83764,0.3859,396,395,0.0623,0.567,0.0351,0.04542,0.1053,0.008609
206,0.77758,0.48721,384,383,0.07937,0.728,0.03747,0.08137,0.1124,0.014352
207,0.58136,0.47309,490,489,0.04731,0.426,0.02618,0.03557,0.07855,0.004622
208,0.59853,0.50208,479,478,0.02964,0.259,0.01723,0.02145,0.05169,0.013706
209,0.58006,0.45577,489,488,0.02694,0.231,0.01542,0.01856,0.04627,0.016301
210,0.72944,0.2711,606,605,0.02815,0.258,0.01178,0.02555,0.03533,0.005092
211,0.73085,0.33187,506,505,0.08189,0.742,0.04087,0.06094,0.12262,0.022341
212,0.73799,0.31159,609,608,0.02989,0.271,0.01317,0.02559,0.03951,0.006624
213,0.64625,0.29457,372,371,0.05385,0.471,0.02984,0.0446,0.08951,0.006491
214,0.68852,0.48725,319,318,0.0405,0.357,0.01833,0.04105,0.05499,0.005833
215,0.68983,0.40013,351,350,0.02526,0.237,0.01162,0.02299,0.03487,0.008552
216,0.85264,0.45972,252,251,0.06861,0.611,0.04262,0.04435,0.12786,0.010954
217,0.8507,0.4841,242,241,0.05021,0.442,0.02666,0.05297,0.07997,0.013294
218,0.85,0.50814,243,242,0.06822,0.605,0.04045,0.04879,0.12136,0.017161
219,0.64519,0.46165,193,192,0.02323,0.205,0.01099,0.02604,0.03298,0.011082
220,0.63973,0.42058,265,264,0.04538,0.414,0.02596,0.03089,0.07789,0.014303
221,0.65352,0.49225,149,148,0.02369,0.205,0.01182,0.02084,0.03547,0.008134
222,0.72671,0.51219,306,305,0.04516,0.396,0.02265,0.03901,0.06796,0.021066
223,0.75495,0.63768,227,226,0.07295,0.658,0.0359,0.05736,0.10769,0.114484
224,0.71739,0.55121,278,277,0.03609,0.306,0.01763,0.03558,0.05288,0.011418
225,0.80754,0.39255,329,328,0.14656,1.284,0.07991,0.09177,0.23972,0.011515
226,0.80006,0.51201,313,312,0.07272,0.628,0.04092,0.05176,0.12275,0.018215
227,0.79954,0.39002,310,308,0.06695,0.601,0.03687,0.05467,0.11062,0.009347
228,0.6389,0.31983,434,433,0.0371,0.351,0.01402,0.04268,0.04206,0.006069
229,0.66445,0.2894,431,430,0.03736,0.345,0.01893,0.03041,0.0568,0.013471
230,0.64601,0.37614,440,439,0.04413,0.397,0.02087,0.04379,0.06262,0.005245
231,0.82102,0.81817,185,184,0.22025,1.803,0.12428,0.11943,0.37283,0.267914
232,0.82411,0.80353,292,288,0.13841,1.196,0.06392,0.11153,0.19176,0.278253
233,0.82402,0.78969,348,345,0.15076,1.222,0.07297,0.09537,0.2189,0.226474
234,0.6547,0.30733,241,240,0.05227,0.459,0.02495,0.0527,0.07484,0.007899
235,0.65154,0.36501,237,236,0.08024,0.711,0.03901,0.07984,0.11702,0.008749
236,0.68753,0.55747,237,236,0.11903,1.067,0.06634,0.08744,0.19903,0.066882
237,0.62505,0.57261,243,242,0.10249,0.912,0.0583,0.07103,0.17491,0.011581
238,0.64486,0.49345,270,269,0.04975,0.44,0.02493,0.0415,0.07479,0.018302
239,0.62556,0.57142,260,259,0.04871,0.438,0.02549,0.04141,0.07648,0.009957
240,0.75039,0.69035,377,376,0.21242,1.86,0.0952,0.18436,0.2856,0.379696
241,0.77913,0.5317,380,379,0.21597,1.901,0.09648,0.13585,0.28943,0.381211
242,0.75777,0.6443,281,279,0.20392,1.746,0.10336,0.12099,0.31007,0.474775
243,0.58222,0.52629,116,115,0.10091,0.9,0.05644,0.09132,0.16931,0.037388
244,0.59658,0.5698,105,103,0.08125,0.704,0.03963,0.09888,0.11889,0.028611
245,0.63389,0.64275,84,83,0.1161,1.052,0.06292,0.10098,0.18877,0.14604
246,0.82329,0.54703,377,376,0.14769,1.307,0.07931,0.12271,0.23792,0.061297
247,0.81274,0.46932,382,381,0.14523,1.343,0.07168,0.14711,0.21504,0.034518
248,0.81822,0.38852,378,377,0.09875,0.88,0.05248,0.08028,0.15745,0.02266
249,0.71266,0.40057,460,459,0.08006,0.723,0.04015,0.07049,0.12046,0.009366
250,0.7852,0.32795,451,450,0.06032,0.53,0.031,0.04349,0.093,0.008618
251,0.7568,0.30563,441,440,0.0693,0.608,0.03697,0.05544,0.1109,0.007809
252,0.80358,0.43221,440,439,0.06533,0.622,0.03645,0.04768,0.10936,0.020261
253,0.80533,0.46087,435,434,0.07703,0.677,0.04406,0.05429,0.13218,0.029597
254,0.81383,0.39573,408,407,0.09832,0.9,0.05822,0.06613,0.17467,0.034295
255,0.76378,0.31554,340,339,0.01833,0.162,0.00777,0.01811,0.02332,0.002165
256,0.72659,0.29898,347,346,0.02268,0.198,0.01205,0.01942,0.03616,0.003106
257,0.74706,0.30645,337,336,0.01931,0.173,0.00892,0.01767,0.02675,0.001613
258,0.78336,0.62128,287,286,0.08069,0.823,0.04566,0.05566,0.13697,0.096923
259,0.8063,0.48759,305,304,0.063,0.551,0.03327,0.05464,0.0998,0.021848
260,0.7213,0.53226,301,300,0.04261,0.376,0.02106,0.04114,0.06319,0.009654
261,0.7527,0.83478,169,166,0.14193,1.28,0.06961,0.10834,0.20882,0.177524
262,0.74257,0.76349,250,244,0.17707,1.586,0.09516,0.11635,0.28549,0.247211
263,0.73379,0.76142,215,211,0.14301,1.226,0.07608,0.10385,0.22823,0.168917
264,0.79935,0.5251,193,192,0.1055,0.93,0.05578,0.09004,0.16733,0.02657
265,0.78018,0.58858,194,193,0.07028,0.614,0.04024,0.05061,0.12072,0.026411
266,0.79988,0.50093,193,192,0.07358,0.671,0.0396,0.05617,0.1188,0.022757
267,0.60323,0.2283,439,438,0.02307,0.2,0.01199,0.01724,0.03596,0.007034
268,0.61757,0.31786,435,434,0.01242,0.108,0.00633,0.00976,0.01898,0.008129
269,0.59032,0.25695,431,430,0.02731,0.24,0.01415,0.02276,0.04245,0.004896
270,0.6462,0.69831,168,167,0.0671,0.601,0.03272,0.06528,0.09817,0.147801
271,0.62722,0.71161,225,222,0.05731,0.527,0.02945,0.04783,0.08834,0.119954
272,0.62704,0.76084,179,178,0.13173,1.125,0.07051,0.10453,0.21154,0.242836
273,0.82153,0.62935,230,229,0.09828,0.847,0.05321,0.06108,0.15962,0.137322
274,0.76678,0.59326,219,218,0.06033,0.539,0.02798,0.06841,0.08394,0.025566
275,0.7375,0.72322,220,218,0.10299,1.049,0.04939,0.09879,0.14818,0.176409
276,0.64398,0.4532,338,337,0.03469,0.318,0.01453,0.0346,0.04358,0.008004
277,0.61898,0.36909,338,337,0.02962,0.259,0.01464,0.03165,0.04392,0.009276
278,0.61833,0.38493,339,338,0.06054,0.527,0.02739,0.06334,0.08218,0.009004
279,0.73877,0.34552,367,366,0.07718,0.767,0.04471,0.05496,0.13412,0.013295
280,0.73829,0.37431,351,350,0.03804,0.336,0.02126,0.02979,0.06378,0.007645
281,0.77339,0.40374,345,344,0.03213,0.278,0.01685,0.02677,0.05056,0.011448
282,0.77079,0.4467,252,251,0.0382,0.334,0.01807,0.03757,0.05422,0.011453
283,0.7381,0.59101,260,259,0.08989,0.829,0.03487,0.09356,0.1046,0.035476
284,0.75465,0.49046,298,297,0.03401,0.297,0.0157,0.03453,0.04709,0.015804
285,0.71766,0.67393,337,336,0.13898,1.225,0.07778,0.10176,0.23334,0.14871
286,0.72082,0.68923,249,248,0.14202,1.273,0.07791,0.10682,0.23374,0.147699
287,0.68431,0.69715,274,272,0.13619,1.233,0.07107,0.10166,0.2132,0.179925
288,0.61508,0.56689,189,188,0.025,0.217,0.01259,0.02123,0.03777,0.021289
289,0.61108,0.60199,187,186,0.02995,0.263,0.01569,0.02674,0.04706,0.020273
290,0.60957,0.61838,169,168,0.07584,0.662,0.04062,0.05971,0.12187,0.023052
291,0.6586,0.69425,264,263,0.10778,1.038,0.03792,0.11841,0.11377,0.073149
292,0.65942,0.61841,308,307,0.06475,0.608,0.02118,0.08029,0.06355,0.028117
293,0.64777,0.57496,310,306,0.07884,0.811,0.02825,0.09597,0.08474,0.048695
294,0.69954,0.42302,332,331,0.03451,0.306,0.01631,0.03374,0.04894,0.004577
295,0.6761,0.4033,326,325,0.03673,0.325,0.01711,0.03456,0.05132,0.005095
296,0.70452,0.45814,333,332,0.02894,0.253,0.01466,0.02651,0.04399,0.005129
297,0.6646,0.40691,339,338,0.02781,0.241,0.01497,0.02214,0.0449,0.021977
298,0.62949,0.39215,366,365,0.03542,0.312,0.01866,0.03222,0.05599,0.019441
299,0.61701,0.31781,380,379,0.02397,0.208,0.01258,0.01996,0.03773,0.009935
300,0.69294,0.60722,243,242,0.07943,0.699,0.04145,0.06524,0.12434,0.035057
301,0.73781,0.63977,251,250,0.05967,0.551,0.03238,0.04764,0.09714,0.04105
302,0.70919,0.58695,251,250,0.06962,0.62,0.03659,0.06268,0.10976,0.023747
303,0.83305,0.39615,326,325,0.04743,0.418,0.02393,0.04594,0.07179,0.01382
304,0.8384,0.40742,332,331,0.08141,0.806,0.04202,0.07261,0.12606,0.017455
305,0.84019,0.56599,302,301,0.11355,1.068,0.06083,0.09916,0.1825,0.050009
306,0.81849,0.66382,245,244,0.12292,1.111,0.06533,0.08076,0.196,0.18098
