,tqwt_entropy_log_dec_5,tqwt_entropy_log_dec_12,tqwt_entropy_log_dec_13,tqwt_entropy_log_dec_18,tqwt_entropy_log_dec_19,tqwt_entropy_log_dec_20,tqwt_entropy_log_dec_21,tqwt_entropy_log_dec_22,tqwt_entropy_log_dec_23,tqwt_entropy_log_dec_25,tqwt_entropy_log_dec_28,tqwt_entropy_log_dec_33,tqwt_entropy_log_dec_34,tqwt_entropy_log_dec_35,tqwt_kurtosisValue_dec_1
15,-828113.0495,-160088.3573,-81589.5628,-5975.2999,-7441.2039,-8784.1603,-11955.2741,-8504.4789,-9374.0015,-4719.605,-9806.3966,-4862.9374,-4037.5865,-3321.0018,4963.2197
16,-841417.9532,-155256.0038,-89342.3634,-5968.8598,-5565.4106,-9603.6415,-11505.1642,-8726.6737,-8330.6475,-5911.4553,-7855.9673,-4534.215,-4001.3696,-3361.4122,19.4176
17,-859696.8936,-162142.6197,-95793.8931,-7199.8939,-3297.7372,-8329.2895,-10920.3404,-9176.2483,-7084.8432,-6639.0675,-5146.6815,-4757.9292,-4002.4309,-3399.7489,197.1635
18,-791595.7546,-131842.9335,-80196.2018,-14693.5379,-13308.8679,-15861.1617,-13715.2364,-8604.6427,-8029.7722,-3684.6015,-5977.6738,-2962.9007,-2314.1312,-1942.6818,44.3028
19,-817903.5023,-141544.2696,-87935.5914,-15224.1345,-13441.4347,-14475.7392,-14900.6424,-9896.5456,-9509.1233,-2312.4763,-6350.3851,-2250.7059,-1758.081,-1562.1811,137.7547
20,-812974.6432,-143092.6401,-89932.1531,-14574.7164,-13522.9136,-17160.9831,-16588.0489,-11097.8689,-10798.1577,-4253.7736,-8184.0043,-3236.7867,-2500.1626,-2164.4239,36.7947
21,-624579.9387,-120660.7232,-82115.5273,-28554.2415,-25328.8838,-16979.3687,-14238.7459,-12698.6903,-6675.5354,-3195.2377,-7270.3224,-2968.0158,-2876.2294,-2412.1762,23.8708
22,-606386.1371,-123612.7346,-86593.2637,-23946.0347,-21692.0394,-13406.2086,-11247.2637,-12894.7934,-5972.1037,-2822.4974,-6811.5961,-2856.7938,-2249.0694,-1799.2464,12.072
23,-606495.7174,-117750.6387,-80100.7218,-25338.6788,-23267.7467,-16002.54,-13091.6001,-12044.0652,-6225.4533,-3227.6359,-5716.3934,-2682.5748,-2216.6874,-1923.5239,38.0344
24,-856066.9658,-96444.8052,-57133.9668,-9954.3519,-7061.0835,-10653.2859,-12924.8441,-9601.0197,-7216.3239,-3119.8603,-2693.5399,-3922.2129,-3368.2931,-2805.2843,1896.5547
25,-811556.6724,-85682.0169,-46065.2893,-4677.9015,-4050.8023,-13519.1887,-12274.2344,-7205.8023,-6969.1893,-3867.6598,-6566.6159,-4438.4344,-3688.8884,-3162.5305,12744.6598
26,-832910.3099,-88686.6302,-50767.2896,-5182.0261,-5483.9143,-15319.7662,-12003.9287,-7493.703,-7592.5139,-3346.2271,-7326.6653,-4463.661,-3800.4002,-3230.8607,5931.9894
27,-908088.8546,-170641.4603,-105635.9546,-11951.0711,-18777.973,-17920.0708,-12573.2241,-10727.6739,-14114.4004,-4978.6589,-7610.2649,-4276.1395,-3790.6375,-3214.6285,8.9798
28,-874061.1673,-152220.0216,-101777.7427,-9596.7912,-15948.4908,-15188.8064,-10991.4368,-9502.3684,-12882.7871,-4164.3544,-7589.2676,-4207.8558,-3613.8776,-3207.0914,6746.4784
29,-875684.4939,-165748.1629,-101703.2245,-11622.8719,-18280.8698,-17392.9149,-12503.12,-10703.7818,-14247.0655,-5030.5694,-7434.3982,-4197.3908,-3712.9487,-3130.5941,213.386
30,-1490096.348,-261249.66,-194369.7696,-35838.709,-27856.0448,-26438.9454,-25619.2959,-22107.4514,-18781.6657,-13858.4148,-5112.1635,-4904.554,-4298.7564,-3687.36,11286.1957
31,-1491983.401,-272500.3902,-202822.9214,-33586.1446,-23779.5578,-21724.7348,-23894.1961,-21206.8416,-15923.761,-13688.9321,-7169.2147,-5152.5954,-4683.7863,-3949.6415,1139.1235
32,-1489878.608,-268894.5838,-191637.4974,-35076.22,-27818.3921,-24870.408,-25285.4577,-22416.6065,-16418.009,-16322.937,-8362.9323,-5402.1879,-4787.9047,-4174.8714,29579.9219
33,-827118.5994,-133022.4002,-82106.2959,-11318.1989,-9114.4637,-15447.7208,-11801.995,-13982.498,-7920.3516,-3179.989,-8656.0437,-2474.7256,-2044.4926,-1596.5095,8.5692
34,-728659.7455,-142269.7298,-92113.5169,-11728.483,-9279.0599,-16063.5811,-12521.0893,-15048.936,-9581.2287,-4088.9816,-9184.9228,-2711.4589,-2195.1431,-1748.7514,20.5241
35,-719202.0394,-144321.5477,-91969.3106,-14567.6099,-10235.4592,-14204.6979,-10242.3746,-11574.4147,-9429.6363,-3197.066,-9465.4967,-2993.1688,-2604.5534,-2202.2773,8.2785
36,-701645.5863,-160438.389,-103208.2608,-25273.3176,-18785.5101,-18165.4162,-14728.207,-11007.335,-8088.8335,-3335.59,-2594.5923,-2378.3168,-1942.0822,-1751.1884,5.0329
37,-719813.2448,-156867.9748,-100779.1763,-24920.4542,-18577.4251,-17552.8145,-14458.1178,-9534.8464,-7356.778,-2452.2991,-2591.3762,-2577.0307,-2032.7838,-1847.7044,804.5371
38,-789940.228,-140967.4808,-88082.2807,-23871.9505,-18202.1399,-18492.6393,-15604.1062,-11777.827,-9438.8399,-3891.9763,-3809.7678,-2996.3484,-2491.8388,-2177.7598,92.1311
39,-613359.976,-156045.3244,-94682.2282,-18617.0172,-11974.9287,-13856.8643,-9890.4617,-9672.1001,-8530.465,-1397.7574,-9842.9273,-3343.9712,-2822.5121,-2237.4435,11.3369
40,-576343.9231,-164889.9928,-97989.2292,-21299.8352,-16229.3957,-17504.5129,-12995.3855,-12933.083,-8485.9469,-2817.8752,-7208.1371,-2918.3182,-2695.6019,-2216.2416,10.2891
41,-605069.7059,-160304.9157,-104464.505,-16510.3944,-11652.8707,-15503.3482,-11120.5635,-12127.7032,-8291.1672,-2433.3266,-9593.5918,-3457.9505,-2852.6281,-2377.6668,13.6012
42,-772866.4371,-180752.3073,-114419.5181,-21727.1713,-20582.7061,-22164.8708,-16450.072,-13030.9934,-8422.9149,-7443.8083,-2341.7762,-3975.3701,-3589.2522,-3059.6473,11.4475
43,-863115.0599,-169952.469,-102651.5335,-18460.3198,-17688.2421,-20817.5391,-14692.6338,-13161.3503,-9943.7753,-9918.5364,-2824.6428,-3966.8428,-3590.6391,-3109.5031,12.6461
44,-860775.1109,-186432.2425,-122409.8911,-22579.4071,-20902.5656,-19082.4751,-14250.8672,-13935.9877,-10146.2447,-8176.2092,-2651.2462,-4170.2422,-3551.6283,-2885.8923,1007.4323
45,-1490386.923,-261660.4611,-190439.6985,-45852.2653,-33260.255,-27733.811,-23897.5618,-22225.6234,-19729.9771,-16566.6645,-7920.0339,-5107.2901,-4867.5298,-4173.6535,14748.7559
46,-1491256.304,-287077.2453,-210180.4673,-49959.4191,-37347.5833,-31575.7088,-26970.7754,-24985.4602,-21790.5881,-17234.5604,-8531.7035,-5073.1728,-4940.9544,-4255.1858,26303.8258
47,-1490512.301,-284419.0425,-215250.2491,-51247.5308,-39418.4176,-32000.8142,-27296.2717,-24965.0385,-23715.0704,-16830.7371,-7423.8905,-4919.3506,-4715.042,-4074.5835,20366.883
48,-642488.2091,-143121.4151,-82513.2711,-16047.3829,-14909.4841,-15338.6722,-11654.3616,-10533.4981,-11812.5491,-3720.2433,-7490.0794,-3248.6816,-2900.9677,-2364.0502,9.4093
49,-673177.2164,-142237.5117,-79936.2223,-15540.6804,-17481.3789,-17306.028,-12864.7066,-10887.8657,-12863.095,-4497.3893,-7764.6075,-3069.7434,-2738.403,-2294.9196,11.1226
50,-648207.3921,-146762.1823,-81597.3277,-18971.7322,-18424.2887,-17573.5261,-12629.9142,-13017.9733,-11263.8267,-4297.7771,-6271.4245,-2982.7331,-2571.0542,-2114.5639,9.6334
51,-700890.1143,-100040.8554,-66053.7997,-24273.2001,-22894.9707,-15037.3468,-12994.6966,-17645.148,-12416.5435,-7882.1022,-10021.1676,-3800.6355,-3630.4224,-3121.5573,11.6944
52,-696231.781,-93160.8946,-61018.7748,-21018.7636,-20840.4,-14766.565,-13730.1945,-17997.5126,-11180.2089,-7788.36,-9559.0356,-3722.8548,-3504.9009,-3107.794,31.7173
53,-664899.675,-99257.1666,-66995.8647,-22051.9733,-22932.0408,-18501.2795,-14247.4626,-16674.2642,-13271.3398,-7064.2963,-9836.8146,-3757.4271,-3552.3314,-3018.5459,9.738
54,-895571.2997,-200024.876,-137617.5939,-52762.6283,-43317.7329,-33779.4855,-22964.2919,-17451.3526,-16943.2706,-9836.0853,-9753.0461,-3300.877,-3675.4048,-3409.3172,28.6109
55,-877644.3526,-200864.2521,-140326.2426,-43362.1592,-38389.3941,-29719.1759,-22440.6265,-18697.6586,-16752.9397,-8821.7794,-9562.1277,-3312.1363,-3643.6602,-3379.3665,33.1188
56,-904723.7258,-183693.7471,-124256.4814,-46054.6361,-39391.0583,-31794.961,-22829.9338,-17262.7191,-17573.8725,-9396.1942,-10074.7273,-3300.9391,-3722.5451,-3358.3475,17.9743
57,-821978.9174,-168359.3499,-109834.9059,-20695.5779,-21996.2476,-20552.6394,-19248.6024,-14767.3751,-15968.3417,-5811.473,-9151.3039,-3373.81,-3539.3296,-3054.5082,23.7081
58,-789121.0053,-160611.2643,-103573.6722,-21533.0514,-24166.9624,-22782.9715,-18979.8336,-15186.9943,-16658.148,-6188.9193,-8801.5382,-3472.8059,-3445.1453,-3025.066,16.809
59,-729745.2524,-147796.4278,-93223.6347,-22132.0518,-23970.7387,-21897.6353,-18730.2084,-14441.8779,-15623.2333,-5216.0824,-9459.5711,-3836.4166,-3552.2105,-2985.7412,28.2819
60,-909789.7007,-187697.9558,-135992.7986,-14234.4759,-13466.6478,-14054.5389,-16007.3057,-12540.4169,-7902.8973,-9932.6317,-3855.9528,-3447.6463,-3504.5051,-3113.4449,1107.0714
61,-868651.6511,-182878.0582,-142667.0309,-22485.8107,-19888.3469,-18681.7736,-20007.2679,-13225.2685,-8924.39,-10069.8576,-4285.4958,-2871.2543,-3420.5892,-3147.4035,30.4826
62,-882579.9252,-195759.081,-138086.8069,-16717.7338,-15839.4325,-15165.9145,-16155.8224,-12724.6018,-8303.0218,-10076.3478,-4281.3632,-3857.7818,-3731.425,-3265.3343,15.4465
63,-880024.0882,-222738.5753,-167044.202,-25179.7083,-21008.2296,-16726.4915,-15714.3357,-10885.0405,-9994.3321,-4837.3973,-7063.0983,-3537.0369,-3708.8559,-3175.9953,122.9337
64,-910591.6455,-233642.7284,-161731.333,-32901.9501,-25152.6043,-18679.5634,-17733.789,-12507.7715,-11328.594,-4954.4242,-6944.3549,-3210.9083,-3598.4705,-3216.0223,779.8198
65,-876093.5494,-225413.6036,-164423.1746,-29511.066,-21350.9583,-15931.9113,-16988.1625,-14139.6166,-13410.3343,-7108.4578,-8948.877,-3348.2983,-3519.321,-3176.8559,16.9545
66,-805690.8476,-98612.0366,-68940.3679,-8653.2756,-15685.6658,-17327.8715,-18209.9546,-10282.5946,-4938.8848,-5643.9984,-9474.2892,-4509.6364,-4174.2017,-3528.3925,2645.2344
67,-784332.4076,-69433.8529,-40255.6025,-10640.5254,-12045.2639,-10637.8294,-16717.3816,-7965.0379,-4272.0157,-9326.9542,-10135.7551,-4391.0744,-3742.7644,-3233.2317,30.2297
68,-811993.1252,-53160.3657,-29486.6516,-9605.6183,-15534.6762,-14431.8979,-16425.6387,-7810.742,-4363.8795,-11305.9192,-10796.287,-4761.0835,-4239.3816,-3541.5868,22.2871
69,-660499.4242,-172626.9846,-100849.6204,-22040.5367,-19840.6153,-22318.3897,-18024.139,-10372.9651,-5904.725,-6470.1694,-1476.2657,-2899.8333,-2483.918,-1986.8735,60.6853
70,-575274.1548,-167876.3107,-100706.5203,-17675.955,-16261.1186,-22192.3655,-17399.8483,-7951.5622,-3828.1287,-5092.0606,-573.92,-2416.9992,-2266.4184,-1837.9867,313.2053
71,-602555.333,-165684.5948,-100326.0375,-23788.5407,-21142.9798,-18399.5724,-17580.6356,-10209.0503,-5732.4191,-5717.018,-963.455,-2370.6299,-2184.3587,-1753.8946,4.327
72,-742422.9421,-93162.5711,-69344.5249,-15814.8032,-22046.0012,-13766.3776,-7227.4358,-6378.1538,-10189.066,-2159.4758,-2674.5317,-1548.9113,-1422.3522,-1180.5764,1465.3584
73,-724484.6114,-90568.1863,-67013.506,-13372.2821,-18559.7021,-13016.2762,-7721.8013,-8048.8578,-9466.5301,-2498.1613,-5426.3098,-1947.7457,-1910.4274,-1432.7818,9.5478
74,-788962.7935,-91910.1415,-68691.307,-14290.3258,-18248.6514,-11897.6355,-6673.5916,-7280.2905,-8709.6345,-1897.3476,-5440.1714,-1937.1138,-1698.5832,-1401.7418,6.8338
75,-709821.6886,-180362.0301,-111238.3163,-11714.616,-15359.6777,-14385.9459,-12978.2095,-10686.6734,-11287.1378,-2327.2516,-9321.2376,-3577.1059,-3002.6332,-2552.8343,131.1946
76,-695723.5816,-173078.0224,-103078.7288,-11405.2786,-14090.3028,-14175.6306,-11617.8157,-9938.6124,-9897.2057,-1756.4262,-8751.9857,-3460.0606,-2905.1703,-2404.0607,979.7346
77,-664042.4867,-170201.0611,-108572.8949,-10902.9231,-14441.2238,-14881.2392,-13916.4696,-11079.7606,-12451.6844,-2893.8051,-8118.2441,-3205.4324,-2627.0064,-2134.6371,15.5921
78,-610685.7887,-149356.9512,-98404.3435,-14972.0529,-14485.6388,-14928.9033,-12230.7274,-11122.9199,-10611.284,-2525.8332,-8602.3795,-2785.9626,-2208.9488,-1780.2531,10.5085
79,-669706.5913,-145697.3888,-84926.3375,-15308.5391,-14868.4315,-14516.8794,-13237.4837,-11413.1413,-11126.5522,-2688.439,-8121.2064,-2408.6845,-1885.5237,-1526.9906,57.906
80,-670236.5807,-142054.2202,-84501.8189,-16495.5166,-13630.4131,-15108.985,-11585.7082,-10976.3597,-9876.1586,-2488.0711,-9875.6166,-3051.4309,-2447.1574,-1929.5509,9.775
81,-835036.5757,-155909.3506,-107043.6062,-26764.9992,-28289.2799,-21699.3091,-22142.504,-15337.772,-9269.7502,-8900.8383,-9970.592,-3795.2245,-3880.6113,-3384.053,17.0577
82,-843471.1565,-168284.2997,-116159.9299,-25914.3871,-28937.6198,-23864.0335,-23543.1434,-16744.8531,-10240.5456,-9110.4193,-10038.7501,-3839.3871,-3707.6198,-3323.8351,16.772
83,-777831.5232,-158947.3521,-114829.4079,-27138.7345,-29866.2107,-24358.4281,-23609.5204,-16395.1104,-9866.7214,-8513.2577,-9591.8111,-3755.6674,-3774.0485,-3309.02,11.879
84,-781496.2583,-128080.8502,-71232.6681,-13627.7024,-14139.1314,-16594.4711,-12754.4782,-12370.1606,-13314.5377,-5124.7009,-12482.3738,-4473.483,-3855.9114,-3116.7572,11.4635
85,-778195.7955,-134545.7402,-78780.9252,-13542.8704,-17418.6897,-19173.0021,-15611.9075,-12504.6511,-14934.1337,-5885.5277,-11274.1792,-4204.4322,-3699.0278,-2924.3457,501.7967
86,-762846.067,-128176.5836,-73988.913,-10218.2539,-16253.6847,-16194.7764,-13818.7921,-11587.3483,-15501.6718,-6097.6858,-12375.897,-4354.7247,-3745.7497,-3071.205,389.2055
87,-797115.3031,-119390.216,-63575.8726,-23182.4386,-21379.6142,-12816.1427,-10873.863,-14684.7636,-6877.5006,-3759.4888,-11978.2993,-3952.7055,-3288.0458,-2513.0972,18.1774
88,-857605.5548,-118970.6558,-64986.8056,-22062.3337,-20671.2161,-12521.5849,-10425.8292,-14465.3606,-6710.7107,-3509.2077,-11870.7446,-3892.0008,-3301.0638,-2738.3382,12.0767
89,-814206.7116,-122319.9537,-70540.2008,-21594.5035,-21540.4576,-14097.2917,-12606.6803,-15184.1925,-7491.4979,-4801.9258,-11886.5365,-3264.1567,-2599.4199,-1613.738,734.4837
90,-742338.5237,-176184.9576,-142458.0372,-49964.0546,-40566.6026,-28004.0283,-21308.2601,-20959.4514,-13864.9097,-6575.5476,-9655.1682,-3684.4769,-3805.3366,-3309.779,8.1355
91,-813700.4498,-214939.6218,-168458.9578,-49289.8671,-29789.9577,-19599.9849,-16038.2725,-17428.0196,-13476.2818,-7609.7871,-7949.1373,-3609.8015,-3834.552,-3373.1928,7.4302
92,-797550.4836,-208063.1351,-166253.7393,-52573.5384,-31639.5437,-20899.4202,-17276.4348,-18517.9469,-10851.8284,-6224.0582,-9958.8338,-3719.5881,-3920.1443,-3453.3958,7.9641
93,-1048504.433,-215940.6442,-151519.2903,-41181.2429,-35710.9714,-34143.57,-27571.8322,-23093.7197,-17951.4827,-11254.209,-2982.689,-4593.8264,-3815.0966,-3332.0246,570.1101
94,-1004162.559,-204900.7618,-136579.2163,-35663.6894,-30224.5904,-26612.0688,-22776.6728,-19894.1483,-17378.2467,-9559.123,-2765.2174,-4554.4477,-3867.4099,-3302.6645,50.6745
95,-1080617.987,-199117.7901,-135063.9748,-36600.1451,-31171.4503,-29559.4529,-26167.7905,-21866.5141,-15334.7975,-9087.6217,-2600.1475,-4442.4307,-3808.6941,-3372.3994,126.8949
96,-1490986.759,-272250.9738,-201578.1218,-54985.6094,-42406.2867,-34419.1412,-30843.582,-24773.3054,-18684.7223,-13710.4793,-5657.5012,-4864.5158,-4410.3663,-3660.2332,20273.8241
97,-1491183.171,-258898.12,-198488.4766,-53684.8523,-43157.6225,-35861.8218,-32603.0122,-27156.6828,-20336.773,-13436.2768,-4321.7744,-4893.0799,-4193.5435,-3691.0674,1229.741
98,-1490132.354,-256849.5731,-204065.7479,-53983.5169,-41753.9752,-34998.5622,-32502.779,-27601.8819,-20568.9938,-14065.2072,-5438.684,-5284.5955,-4653.1416,-3994.0395,28018.4306
99,-819869.4186,-172587.4627,-102384.4517,-11922.6915,-11422.2626,-12449.0152,-13689.1042,-11456.3902,-7065.0373,-7534.9634,-2403.9331,-3565.5766,-2769.2064,-2166.7519,1646.6013
100,-779103.3942,-164092.5981,-96626.9654,-13789.6106,-12301.1339,-17761.0531,-15444.0483,-13197.5004,-8369.2164,-8713.2986,-2608.4762,-3661.9738,-2980.8226,-2188.305,14.1235
101,-834879.0163,-171747.8147,-101647.8425,-13374.1868,-11537.4379,-14378.1078,-14669.2505,-12488.8806,-7589.0436,-8520.7055,-2225.7593,-3494.0152,-2808.2415,-2251.6947,9142.7308
102,-697330.917,-146042.7426,-97050.3003,-21398.9193,-18409.2756,-12697.0395,-9689.2048,-12589.9814,-5758.3018,-1898.4807,-6782.6075,-1233.0661,-1988.9958,-1948.5446,442.826
103,-682766.4724,-141270.6166,-89533.9311,-20461.2135,-18450.4577,-14594.7551,-10694.3361,-12935.9554,-7825.0136,-2908.9866,-10067.8766,-2768.3003,-2655.7289,-2401.4373,59.2534
104,-680951.4693,-115691.5666,-76537.7612,-18285.548,-14977.1958,-12250.5267,-9175.588,-12337.2259,-7374.557,-2949.2614,-10511.717,-3174.1033,-2839.4304,-2251.5035,873.953
105,-826548.5825,-132279.7946,-94668.6218,-10326.2911,-13754.3049,-10728.0432,-10948.4335,-11149.521,-4993.5132,-3822.9573,-6920.2085,-2467.0126,-1996.2486,-1612.3625,17.8973
106,-805279.7312,-125422.4587,-88802.1252,-11154.5164,-14391.7862,-12263.5004,-12078.6889,-11704.7065,-5291.7466,-4088.7815,-7163.3719,-2525.1467,-2127.402,-1804.9721,17.8858
107,-767264.5292,-126883.3048,-89140.7498,-14088.8425,-17495.606,-13079.7131,-13342.5118,-13159.1747,-6849.2513,-5503.4017,-7881.0152,-2620.7587,-2359.465,-1957.5062,8.7301
108,-752554.9239,-115941.7116,-74367.0357,-17575.8682,-22370.9443,-23200.6179,-15567.4104,-12689.1368,-15278.2734,-5120.6815,-10766.4787,-4448.7582,-3679.935,-2955.0741,12.8737
109,-776536.4297,-131435.2569,-82508.7867,-23794.1723,-25879.0655,-22738.7715,-17166.9803,-13179.703,-14726.8255,-5076.5128,-10987.8891,-4034.5021,-3558.2224,-2904.1331,13.7964
110,-693942.897,-135415.8833,-95044.7531,-20364.7661,-22441.5924,-21966.0842,-14751.0123,-11087.2913,-12923.647,-4097.8065,-10505.4666,-3901.059,-3296.968,-2694.7345,89.5691
111,-714752.7142,-114003.9147,-66982.1908,-9042.1702,-14331.6648,-15212.9954,-10613.7967,-8440.7407,-11527.6378,-5111.5712,-9036.0118,-3945.1262,-3507.3458,-3015.0037,44.7366
112,-742840.8539,-117229.2741,-68569.3624,-16001.0542,-19645.9602,-20806.3481,-15059.0861,-11431.461,-12790.5501,-6606.2588,-8871.5949,-3666.1038,-3370.4475,-2918.8021,19.9692
113,-714752.7142,-114003.9147,-66982.1908,-9042.1702,-14331.6648,-15212.9954,-10613.7967,-8440.7407,-11527.6378,-5111.5712,-9036.0118,-3945.1262,-3507.3458,-3015.0037,44.7366
114,-897165.3758,-161512.6137,-102781.093,-16669.6244,-13616.1103,-17469.724,-16049.6045,-10258.4678,-8142.9563,-5101.2036,-4504.7649,-4680.4314,-3964.6492,-3318.4587,1877.5624
115,-869017.4807,-180741.6594,-125165.6493,-16514.1128,-19834.5232,-21627.4623,-15653.4785,-9558.2404,-7871.159,-5894.5895,-5598.9878,-4881.2698,-4044.4677,-3359.8748,47.4731
116,-884809.7695,-188478.8851,-129923.2619,-16242.9329,-19294.0605,-19355.2977,-16441.729,-10490.4157,-8420.0088,-5541.0341,-5055.0481,-4751.0505,-3945.4357,-3449.7822,585.8407
117,-759983.5168,-163164.0099,-105575.6879,-23889.6624,-18116.8582,-16676.8137,-13649.1868,-11041.9509,-14190.083,-4784.5441,-8899.5036,-4708.4771,-3953.3844,-3340.6921,41.4819
118,-768995.7793,-150513.0438,-94837.177,-21810.5957,-20496.8241,-17114.3698,-12055.1393,-8202.226,-11204.5751,-2306.1597,-8615.495,-4471.3539,-3667.474,-3149.9701,54.687
119,-767644.2241,-163337.7311,-110518.0504,-21067.18,-19184.8375,-16944.23,-12042.5397,-9569.145,-12504.369,-4257.8473,-9129.6431,-4746.3351,-3821.4586,-3230.3153,225.7094
120,-819568.0865,-190782.8785,-123579.5129,-27088.286,-23482.8031,-26510.056,-22528.0852,-16393.0403,-10699.0146,-10932.2939,-3769.2732,-4004.4087,-3758.874,-3173.4287,6910.7879
121,-795063.1952,-185910.4655,-114133.7381,-22945.6346,-19977.2721,-24161.6691,-22145.3653,-12975.8908,-7922.5136,-9416.997,-3353.5695,-3854.6558,-3563.0985,-2966.1825,30.5629
122,-809959.5209,-180155.9151,-106102.6718,-20860.3862,-18348.3993,-22518.064,-20490.698,-12256.0546,-7312.7836,-9203.3497,-3479.3279,-3898.523,-3454.9089,-3034.3658,58.4859
123,-776183.6916,-89230.2612,-55613.7067,-24950.0761,-20629.6658,-26196.9217,-14312.7171,-8928.9482,-8199.6331,-20860.2612,-10921.2492,-3063.6392,-3005.1315,-2522.6828,91.4271
124,-755098.1285,-80200.4863,-49774.6035,-27960.9007,-24294.5389,-28177.7333,-16296.7348,-10898.6235,-10360.1328,-22404.6435,-12149.5338,-3366.7195,-2916.5004,-2589.3281,6.9907
125,-722789.6187,-65804.8176,-42032.3523,-22782.8301,-21924.9069,-25449.0437,-14987.8257,-10680.8473,-11503.7812,-23690.538,-12006.1864,-3553.1597,-2970.0992,-2639.9909,64.2106
126,-782444.5563,-149720.1676,-97288.2436,-11790.5551,-10679.969,-13566.0747,-13644.8914,-9408.3585,-9093.382,-5845.8785,-7913.4691,-4252.4921,-3719.4471,-3009.2053,135.7357
127,-762184.6601,-142566.4383,-90073.0585,-10085.5249,-9549.467,-14488.303,-13385.3106,-8991.6715,-8879.7606,-5515.935,-8671.7035,-3931.7455,-3403.3355,-2810.7649,606.6262
128,-752634.0466,-139538.7389,-88865.445,-12081.279,-8914.2499,-13718.6112,-13582.7381,-8896.1888,-7308.6576,-5849.6601,-5730.4837,-3691.2602,-3196.6151,-2651.5268,1556.1101
129,-844133.6123,-201224.5864,-138654.377,-16994.9564,-15558.1287,-13841.203,-7566.6337,-5771.2501,-9290.1592,-2636.4281,-6639.3527,-3874.468,-3596.3912,-3252.4518,71.0989
