,mean_Log_energy,mean_MFCC_0th_coef,mean_MFCC_1st_coef,mean_MFCC_2nd_coef,mean_MFCC_3rd_coef,mean_MFCC_4th_coef,mean_MFCC_5th_coef,mean_MFCC_6th_coef,mean_MFCC_7th_coef,mean_MFCC_8th_coef,mean_MFCC_9th_coef,mean_MFCC_10th_coef,mean_MFCC_11th_coef,mean_MFCC_12th_coef,mean_delta_log_energy,mean_0th_delta,mean_1st_delta,mean_2nd_delta,mean_3rd_delta,mean_4th_delta,mean_5th_delta,mean_6th_delta,mean_7th_delta,mean_8th_delta,mean_9th_delta,mean_10th_delta,mean_11th_delta,mean_12th_delta,mean_delta_delta_log_energy,mean_delta_delta_0th,mean_1st_delta_delta,mean_2nd_delta_delta,mean_3rd_delta_delta,mean_4th_delta_delta,mean_5th_delta_delta,mean_6th_delta_delta,mean_7th_delta_delta,mean_8th_delta_delta,mean_9th_delta_delta,mean_10th_delta_delta,mean_11th_delta_delta,mean_12th_delta_delta,std_Log_energy,std_MFCC_0th_coef,std_MFCC_1st_coef,std_MFCC_2nd_coef,std_MFCC_3rd_coef,std_MFCC_4th_coef,std_MFCC_5th_coef,std_MFCC_6th_coef,std_MFCC_7th_coef,std_MFCC_8th_coef,std_MFCC_9th_coef,std_MFCC_10th_coef,std_MFCC_11th_coef,std_MFCC_12th_coef,std_delta_log_energy,std_0th_delta,std_1st_delta,std_2nd_delta,std_3rd_delta,std_4th_delta,std_5th_delta,std_6th_delta,std_7th_delta,std_8th_delta,std_9th_delta,std_10th_delta,std_11th_delta,std_12th_delta,std_delta_delta_log_energy,std_delta_delta_0th,std_1st_delta_delta,std_2nd_delta_delta,std_3rd_delta_delta,std_4th_delta_delta,std_5th_delta_delta,std_6th_delta_delta,std_7th_delta_delta,std_8th_delta_delta,std_9th_delta_delta,std_10th_delta_delta,std_11th_delta_delta,std_12th_delta_delta
10,9.7666,12.9138,6.9275,0.8166899999999999,-2.0275,-1.4786,-0.6259,-2.5354,0.12372999999999999,1.5187,-1.4838,-0.9659,-0.6369,-0.33732,-0.00069742,-0.0026891,0.0021546,0.0016926999999999999,-0.0018465999999999997,-0.0018755,0.0019322,-0.0012604,0.0008787,0.00029261,0.0011508,0.0022254,-0.0014062999999999999,-0.0026122,0.00013598,-0.00089027,0.00024974,0.00032996,-9.99e-06,-0.00026834,0.0001972,-0.00026606,0.00016066,0.00030074,1.99e-05,0.00015474,-0.00027362,-0.00013392,0.38531,1.198,0.5493600000000001,0.47131000000000006,0.41967,0.28401,0.3731,0.49283000000000005,0.28063,0.27726999999999996,0.3344,0.299,0.25711,0.21448000000000003,0.067715,0.15556,0.056514,0.049342000000000004,0.058471,0.033619,0.05247,0.057786000000000004,0.031271,0.041908999999999995,0.044203,0.029037999999999998,0.033547,0.028895999999999998,0.022122,0.055911,0.03152,0.01974,0.025477,0.015759,0.024562,0.027823,0.014612,0.020465999999999998,0.021287,0.011470999999999999,0.012387,0.012823
11,9.7855,11.8357,6.5105,0.7111,-2.7049,-2.0298,-1.3457,-2.3347,0.3648,1.5218,-0.95541,-0.60273,-0.50188,-0.13483,-0.0019225000000000002,-0.0063555,-0.00035215,0.0034425,0.0029546999999999998,0.00035519,-0.0017462,0.0017097999999999998,-0.0012586,-0.00075067,0.0049768,0.0032251,0.00097828,0.00074548,0.00012803,0.0012249000000000001,-0.00073742,-0.0003123,0.00041933,-0.00020207,-0.00030152,0.00029501,-0.00012984,-0.00062455,0.00026361,-0.00033224,-0.00027025,5.18e-05,0.30549,0.80278,0.44345,0.48376,0.35015999999999997,0.18873,0.37176,0.337,0.21891,0.26219000000000003,0.34364,0.19192,0.17285,0.23749,0.030735000000000002,0.10584,0.078578,0.072988,0.059105,0.024036000000000002,0.039582,0.057241,0.034818,0.041854,0.035158,0.03438,0.022774000000000003,0.037605,0.012044,0.040589,0.033935,0.02537,0.022133,0.011995,0.018028,0.024836,0.014099,0.01625,0.015844999999999998,0.013975999999999999,0.0098161,0.014688
12,9.5537,15.6995,4.2309,3.1396,-2.0113,-1.0458,0.16759000000000002,-1.1977,-0.23263000000000003,0.68748,-1.0169,-0.78735,-1.7935,-0.5723699999999999,-0.0055677,-0.0031712,-0.006164899999999999,0.0015175,-0.0016954999999999997,-0.006636199999999999,0.0038604,-0.0050462,-0.0014515999999999997,0.0014050999999999998,-0.00096614,0.0011415999999999998,0.0018086999999999999,-0.0035226,-0.00018004,-0.00033491,-0.00065562,0.00039172,0.00078295,2.84e-06,0.00035139,0.00033107,-0.00018461,2.4299999999999998e-05,0.00020129,0.00060559,-0.00022502,-9.41e-05,0.42435,0.5647,0.43175,0.4075,0.36768,0.39485,0.28676,0.31685,0.26446,0.2344,0.24943,0.25388,0.20986,0.29188000000000003,0.06225599999999999,0.072315,0.048468000000000004,0.044117,0.054095000000000004,0.052011,0.031201,0.034186,0.035548,0.032304,0.02974,0.035858999999999995,0.026435000000000004,0.032368,0.026047000000000004,0.02858,0.022537,0.020534,0.02389,0.022972,0.017037,0.016312,0.019221000000000002,0.016488,0.015837,0.017394,0.01411,0.016662
13,9.338,14.4753,4.7262,3.0062,-1.7587,-2.2904,0.5178,-1.072,-0.22014,0.73882,-1.3072,-0.66575,-1.5353,-0.97535,-0.0029508000000000004,-0.0051503,-0.005973699999999999,0.0053806999999999995,0.0020715,-0.002426,0.0023496,0.0024241999999999996,-0.0025142,0.0050687,0.00030135,0.00077752,0.0024916,-0.0018561,-0.0001374,-0.00016379,0.00047584,0.00032502,-4.98e-05,0.0002758,-2.7600000000000003e-05,0.00025776,0.00014233,0.00062446,0.00058336,0.00052123,-1.93e-05,-0.00013854,0.29772,0.7409899999999999,0.51258,0.50167,0.37997,0.28511,0.38195999999999997,0.26286,0.32676,0.40153,0.23997,0.20797,0.2758,0.25253000000000003,0.045133,0.078523,0.046107,0.051740999999999995,0.058807000000000005,0.04332,0.037811000000000004,0.039247000000000004,0.040451,0.032436,0.039119,0.03468,0.034094,0.031368,0.015685,0.028360000000000003,0.020733,0.024621,0.026889999999999997,0.022098,0.018663,0.018796,0.020446000000000002,0.015236000000000001,0.018274000000000002,0.016572,0.01661,0.015050999999999998
14,9.2174,13.8126,4.3417,3.8325,-1.8396,-2.5196,0.49,-1.5939,0.18847,0.42153,-1.1697,-0.60712,-1.3391,-0.82614,-0.010832,-0.012499,-0.0096881,9.740000000000001e-05,0.0033795,-0.00028794,0.0022506999999999996,0.0026515999999999996,0.0031674,0.00062536,-0.00028056,0.0024576999999999997,0.0029894,0.00040559,-0.00011164,-0.00065051,8.18e-05,0.00025073,-7.1e-06,-7.68e-05,0.00026762,0.00017283,0.00010093,5.93e-05,-0.00011393,1.7199999999999998e-05,0.00038507,6.65e-05,0.5734199999999999,0.78847,0.49628,0.51766,0.28995,0.3436,0.3086,0.2606,0.23349,0.23536999999999997,0.24056999999999998,0.28338,0.27645,0.2533,0.06490599999999999,0.06912,0.05191799999999999,0.065954,0.037025999999999996,0.045798,0.048065,0.039011000000000004,0.035282,0.036074,0.03587,0.041522,0.038586,0.032202999999999996,0.01949,0.030902,0.023441,0.024965,0.017856,0.019755,0.023174,0.019495,0.017227000000000003,0.017433,0.016751,0.016949000000000002,0.016666999999999998,0.014959
15,10.385,14.1364,7.5078,1.6047,-0.7228600000000001,-1.7518,-0.48544,-2.9687,-1.1952,1.4283,0.005628899999999999,0.13928,-0.69445,-0.7319399999999999,0.0004433,-0.008255,0.0018893,0.0029026,-0.0011056,-0.0010363,0.00036619,0.0011948,0.00068415,-0.0017811,-0.00054136,0.0015230999999999999,0.0023263000000000003,0.00051764,-1.88e-05,-0.00037349999999999997,9.470000000000001e-05,-8.01e-05,0.00025228,0.00015786,-5.67e-05,-0.00013018,-0.00047643,0.00015109,0.00010136,-8.01e-05,-0.00032609,-6.78e-05,0.10429000000000001,0.93173,0.8028,0.23092,0.19269,0.22341999999999998,0.41708999999999996,0.46718999999999994,0.21235,0.2644,0.26389,0.18723,0.17187,0.25115,0.020578,0.09869,0.089529,0.02817,0.035177,0.028025,0.043621,0.042688,0.035102999999999995,0.031869,0.037677999999999996,0.027502,0.025234,0.030997000000000004,0.0077242000000000005,0.051743,0.046582,0.014408,0.015804,0.014407,0.022106999999999998,0.023655000000000002,0.017349,0.017061,0.018456,0.012825999999999999,0.012336,0.014153
16,10.2669,14.4774,7.76,0.72048,-0.99284,-0.99756,-0.88049,-2.8914,-0.74146,1.0557,-0.22860999999999998,-0.12279000000000001,-0.59007,-0.45221000000000006,0.0027634,0.002607,-0.0096021,0.008297,-0.0002201,-0.0020266999999999998,-0.005617199999999999,0.0042692,-0.0029158,-0.0069435,0.0024871,-0.00084058,-0.0015449,0.006027899999999999,6.56e-05,0.00084816,-0.0010068999999999998,0.00019945,0.0002229,-9.22e-05,7.900000000000001e-05,0.00013014,-0.00025193,-0.00021074,7.219999999999999e-05,-6.31e-05,0.00013227,-2.5300000000000002e-05,0.21678000000000003,0.63605,0.65791,0.38413,0.20288,0.21741999999999997,0.31633,0.33489,0.42554,0.30548000000000003,0.23825,0.15253,0.18037,0.28453,0.034631999999999996,0.08762400000000001,0.084707,0.041944,0.031511000000000004,0.035019999999999996,0.042858,0.050416,0.062411,0.038199000000000004,0.032609,0.020222,0.023322,0.030756,0.013744999999999999,0.046329,0.042901,0.018315,0.015805,0.016265,0.021695,0.026233,0.024981,0.016513999999999997,0.016145,0.010393000000000001,0.011426,0.014588
17,10.6189,14.634,8.0628,1.4756,-0.76915,-0.77755,-1.1332,-2.9155,-0.9714,0.80106,0.43487,0.083262,-0.41226,-0.80674,0.0021801,-0.0038515999999999997,0.0020488000000000004,-0.002895,0.0016303000000000001,0.004867600000000001,-0.005189899999999999,0.0013677,-0.0028881999999999996,0.00067953,0.00090243,-0.00066069,0.0036588000000000002,0.0033989000000000003,-6.3e-05,-0.00054739,0.00085467,-0.00038047,-0.00039999,-2.9999999999999997e-05,0.00056918,-0.00036512,8.54e-06,0.00028328,-0.00034500000000000004,0.00015951,-0.00027649,-0.00018406,0.13675,0.62351,0.61569,0.30673,0.25373,0.20605,0.32466,0.32925,0.20368,0.17179,0.18934,0.17065999999999998,0.21603000000000003,0.23555,0.025051,0.072885,0.071565,0.04235,0.040361,0.033266000000000004,0.042587,0.040655000000000004,0.023732,0.023334,0.030791000000000002,0.024342,0.023796,0.034829,0.008395399999999999,0.042027999999999996,0.040992,0.019936000000000002,0.015812,0.01444,0.019805,0.02232,0.012482,0.012496,0.013297,0.011313,0.01254,0.018134
18,10.2806,15.7983,8.2131,1.1404,-0.50685,-1.034,-0.62675,-1.2538,-0.41223000000000004,1.4985,0.82021,-1.4141,-0.12672,0.54484,0.0017285999999999998,-0.005416399999999999,0.0040766,-0.0031055,0.0077938999999999994,0.007056699999999999,-0.0044162,5.85e-05,-0.0036571999999999998,-0.0035849000000000002,-0.004568399999999999,-0.00041728,0.0018945999999999998,0.008025399999999999,-9.49e-05,-0.00018397,0.00045503,-0.0002109,-0.00029989999999999997,-4.5e-05,0.00021209,-0.00010800000000000001,-7.509999999999998e-05,0.00024333,0.00014067,-7.45e-05,2.9600000000000005e-05,-0.00020127,0.21816,0.9524,0.54191,0.40607,0.40512,0.3745,0.31438,0.34933000000000003,0.26883,0.31943,0.31897,0.31555,0.22989,0.32669000000000004,0.033018,0.106,0.069214,0.05371,0.038723,0.036483999999999996,0.047811,0.028451999999999998,0.032881,0.037715,0.041319,0.035743000000000004,0.041460000000000004,0.031007,0.012863,0.046307,0.033807,0.022894,0.014648,0.017402,0.02126,0.011937,0.013753999999999999,0.015875,0.017336,0.016261,0.017759,0.012775
19,10.2374,15.7537,7.9928,1.3162,-0.30496,-0.41463999999999995,-0.9007299999999999,-0.8013600000000001,-0.43204,1.5803,0.8794799999999999,-1.3219,-0.0284,0.71539,0.0022245999999999998,0.0028835,9.070000000000001e-05,-0.001463,0.0032844000000000003,0.0031574999999999997,0.0023894000000000003,-0.0014903,-0.0041055,-0.0023225000000000003,0.0006787000000000001,9.05e-05,0.0048177,-0.00012838,-3.3100000000000005e-05,-0.00014901,0.00029498,-0.00064803,9.66e-05,0.00024992,-0.00019275,0.00020892,-0.00041381,-0.00015773,0.00046745,-0.00035578,0.00036749,-1.7199999999999998e-05,0.22596,0.83488,0.50984,0.2408,0.23686999999999997,0.35497,0.34315999999999997,0.28252,0.28414,0.2226,0.24248000000000003,0.28026999999999996,0.22548,0.20539000000000002,0.036656,0.1522,0.079532,0.041333999999999996,0.036489999999999995,0.041464,0.02853,0.038385,0.044042000000000005,0.026958999999999997,0.03152,0.048075,0.033093,0.028775,0.012184,0.055147,0.037629,0.016518,0.013606,0.017077000000000002,0.0083828,0.017245,0.016697,0.011861,0.013586,0.021562,0.013402,0.013494999999999998
20,10.1372,15.3424,7.9823,0.45448,-0.6624800000000001,-0.81113,-0.9101899999999999,-1.3711,-1.0357,1.5678,1.234,-0.8023,-0.56919,0.71911,-0.0025992,-0.0070008,-0.00061662,0.0028111,0.0026111,-0.0010384,0.0024399,0.0024313000000000004,-0.004103100000000001,-0.0011732000000000001,0.0015609000000000003,0.0026033000000000002,3.86e-06,-0.0024253,-0.00029118,0.00068746,-0.0018272000000000002,0.00087845,0.00050996,0.00030142,-0.00043384,-4.970000000000001e-05,0.00044784,-0.00034414,-0.00011711,0.00036999,0.00013676,-5.7700000000000007e-05,0.24846999999999997,0.8526,0.7590600000000001,0.32969,0.25829,0.27635,0.24988000000000002,0.26371999999999995,0.32413000000000003,0.28095,0.20548000000000002,0.25292,0.19130999999999998,0.20256,0.045134,0.13467,0.095121,0.049576999999999996,0.041647,0.040325,0.03474,0.035135,0.037351999999999996,0.039864,0.032059,0.025738,0.029111,0.022199,0.015793,0.05259400000000001,0.034636,0.018951,0.015353,0.015614,0.014538999999999998,0.013618,0.013234000000000001,0.017955000000000002,0.013248,0.011256,0.010968,0.011047
21,9.5502,15.6835,4.6268,1.4909,3.0083,-0.8681200000000001,-0.62589,-0.319,1.6874,0.075968,-0.36396999999999996,1.3464,-0.3363,0.11325999999999999,-0.0038058999999999996,-0.010786,-0.0044042000000000005,-0.0017117,0.0034536000000000002,0.0020893,-0.0013196,0.0035217,0.0025789000000000003,-0.00078435,-0.0014812999999999998,0.0019735,-0.00030758,-0.00076321,3.34e-05,0.00016446,-0.00019857,-7.979999999999999e-05,-0.00023486,0.00054177,0.00016618,0.00027428,-0.00040596,0.00018173,0.00036121,0.00017954,-0.00020922,-0.00020031,0.31495,0.83278,0.75957,0.34179,0.34761,0.33928,0.2691,0.30196,0.29239,0.22614,0.2255,0.20786999999999997,0.22326999999999997,0.20986999999999997,0.03584,0.093178,0.06702000000000001,0.046151,0.044917,0.045997,0.035088,0.042254,0.044068,0.031802,0.028612000000000002,0.024871,0.036982,0.027229000000000003,0.015924,0.042607,0.030922,0.025352,0.022726,0.023822,0.017683,0.020392,0.020541999999999998,0.016602000000000002,0.015278,0.013703,0.018524000000000002,0.014044999999999998
